"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
",TAX CLASS AS OF FINAL ROLL 18/19,"BLOCK
","LOT
","EASE-MENT
",BUILDING CLASS AS OF FINAL ROLL 18/19,"ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,2907,24,,A1, 4090 PARK AVENUE ,,10457,1,0,1,"2,500","1,474",1901,1, A1 ,241500,8/17/2018
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,62,,A1, 4463 PARK AVENUE ,,10457,1,0,1,"1,578","1,470",1899,1, A1 ,180000,3/22/2018
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,62,,A1, 4463 PARK AVENUE ,,10457,1,0,1,"1,578","1,470",1899,1, A1 ,455000,11/28/2018
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,70,,A1, 4445 PARK AVENUE ,,10457,1,0,1,"1,694","1,497",1899,1, A1 ,255000,3/5/2018
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,28,,A1, 2329 WASHINGTON AVENUE ,,10458,1,0,1,"1,103","1,290",1910,1, A1 ,340000,2/22/2018
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,63,,A1, 469 EAST 185 STREET ,,10458,1,0,1,"1,650","1,296",1910,1, A1 ,210000,2/15/2018
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,63,,A1, 469 E 185TH ST ,,10458,1,0,1,"1,650","1,296",1910,1, A1 ,419000,12/20/2018
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,13,,S1, 2046 WASHINGTON AVENUE ,,10457,1,1,2,"1,791","1,804",1899,1, S1 ,305000,7/18/2018
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,27,,A1, 2090 WASHINGTON  AVENUE ,,10457,1,0,1,"2,356","2,213",1901,1, A1 ,365000,2/23/2018
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,35,,A1, 2083 BATHGATE AVENUE ,,10457,1,0,1,"2,050","1,560",1899,1, A1 ,445000,12/17/2018
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3047,11,,A1, 482 E 181ST ST ,,10457,1,0,1,"1,556","1,240",1901,1, A1 ,365000,3/22/2018
