"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
",TAX CLASS AS OF FINAL ROLL 18/19,"BLOCK
","LOT
","EASE-MENT
",BUILDING CLASS AS OF FINAL ROLL 18/19,"ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,29,,A5, 21-48 81ST STREET ,,11370,1,0,1,"1,800","1,224",1950,1, A5 ,730000,7/19/2018
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,33,,A5, 21-56 81ST STREET ,,11370,1,0,1,"1,800","1,224",1950,1, A5 ,0,10/12/2018
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,68,,A5, 21-07 80 STREET ,,11370,1,0,1,"1,800","1,224",1950,1, A5 ,822500,11/21/2018
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS,1,949,53,,C0, 19-75 80TH STREET ,,11370,3,0,3,"2,000","2,835",1945,1, C0 ,0,9/21/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15828,4,,A2, 310 BEACH 39TH STREET ,,11691,1,0,1,"1,552","1,000",1940,1, A2 ,360000,7/6/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15831,36,,A5, 337 BEACH 41 STREET ,,11691,1,0,1,"2,470","1,332",2006,1, A5 ,276000,6/20/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15838,45,,A9, 343 BEACH 46 STREET ,,11691,1,0,1,"3,804",926,1920,1, A9 ,288750,7/12/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15839,42,,A2, 355 BEACH 47 STREET ,,11691,1,0,1,"1,916",608,1920,1, A2 ,210000,2/5/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849,16,,A6, 40-13 ROCKAWAY BEACH BLVD ,,11691,1,0,1,"2,648",618,1920,1, A6 ,437026,10/8/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15931,38,,A2, 148 BEACH 60 STREET ,,11692,1,0,1,"2,688","1,952",1925,1, A2 ,0,7/3/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15931,57,,A5, 125 BEACH 59TH STREET ,,11692,1,0,1,"2,576","1,242",1975,1, A5 ,0,7/16/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15954,10,,A1, 418 BEACH 38 STREET ,,11691,1,0,1,"3,000","1,650",2003,1, A1 ,65000,1/9/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15965,47,,A2, 490 BEACH 44 STREET ,,11691,1,0,1,"1,908","1,848",1899,1, A2 ,137500,12/20/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15965,47,,A2, 490 BEACH 44 STREET ,,11691,1,0,1,"1,908","1,848",1899,1, A2 ,105000,9/10/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15967,20,,A1, 425 BEACH 44TH STREET ,,11691,1,0,1,"3,411","1,960",1920,1, A1 ,450000,1/30/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,31,,A6, 458 BEACH 46 STREET ,,11691,1,0,1,"2,378",936,1920,1, A6 ,0,10/1/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,32,,A6, 460 BEACH 46TH STREET ,,11691,1,0,1,"2,378",930,1920,1, A6 ,350000,4/30/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,33,,A9, 462 BEACH 46 STREET ,,11691,1,0,1,"2,378",700,1920,1, A9 ,193200,10/5/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,72,,A6, 477 BEACH 45TH ST ,,11691,1,0,1,"1,890",392,1920,1, A6 ,184500,1/4/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,72,,A6, 477 BEACH 45TH STREET ,,11691,1,0,1,"1,890",392,1920,1, A6 ,305000,10/24/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,91,,A2, 441 BEACH 45TH STREET ,,11691,1,0,1,"1,890",684,1920,1, A2 ,95000,10/5/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,97,,A9, 429 BEACH 45TH STREET ,,11691,1,0,1,"2,836",680,1920,1, A9 ,415000,5/7/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,99,,A6, 423 BEACH 45 ,,11691,1,0,1,"4,726",620,1920,1, A6 ,175000,12/27/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,105,,A1, 411 BEACH 45TH STREET ,,11691,1,0,1,"2,363","1,560",1920,1, A1 ,455000,7/20/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,43,,A2, 477 BEACH 46TH STREET ,,11691,1,0,1,"1,750",540,1940,1, A2 ,0,1/2/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,51,,A1, 457 BEACH 46 STREET ,,11691,1,0,1,"2,378","1,664",2004,1, A1 ,300000,6/12/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,65,,A2, 423 BEACH 46 STREET ,,11691,1,0,1,"2,378",737,1940,1, A2 ,345000,2/7/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,36,,A9, 6-31 BEACH 65 STREET ,,11692,1,0,1,"2,250","1,402",1960,1, A9 ,380000,3/9/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,36,,A9, 6-31 BEACH 65 STREET ,,11692,1,0,1,"2,250","1,402",1960,1, A9 ,0,3/9/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,37,,A9, 6-29 BEACH 65 STREET ,,11692,1,0,1,"2,250","1,530",1960,1, A9 ,375000,6/14/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,55,,A2, 6514 ALMEDA ,,11692,1,0,1,"1,913","1,407",1960,1, A2 ,0,3/26/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16029,23,,A1, 648 BEACH 69TH STREET ,,11692,1,0,1,"4,000","1,196",1920,1, A1 ,410000,10/5/2018
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16031,12,,A9, 528 BEACH 65 STREET ,,11692,1,0,1,"2,500","1,925",1960,1, A9 ,410000,2/26/2018
