"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
",TAX CLASS AS OF FINAL ROLL 18/19,"BLOCK
","LOT
","EASE-MENT
",BUILDING CLASS AS OF FINAL ROLL 18/19,"ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,65,,A3, 22 BLUE HERON DRIVE ,,10312,1,0,1,"8,000","3,000",1987,1, A3 ,1185000,3/19/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,8,,A1, 254 SHIRLEY AVENUE ,,10312,1,0,1,"7,500","3,205",1970,1, A1 ,915000,12/21/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,46,,A1, 119 LENZIE STREET ,,10312,1,0,1,"8,000","3,660",1998,1, A1 ,1250000,11/1/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,26,,A2, 87 ELMBANK STREET ,,10312,1,0,1,"5,000",912,1950,1, A2 ,530000,4/27/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5408,7,,A2, 192 BATHGATE STREET ,,10312,1,0,1,"2,500",572,1930,1, A2 ,375000,9/27/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,,A2, 7 SANDGAP STREET ,,10312,1,0,1,"2,500",624,1925,1, A2 ,208000,8/29/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,41,,A5, 68 SEGUINE PLACE ,,10312,1,0,1,"2,243","1,373",1986,1, A5 ,460000,3/23/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,65,,A5, 24 SEGUINE PLACE ,,10312,1,0,1,"2,267","1,320",1986,1, A5 ,0,10/11/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,112,,A5, 50 MAY PLACE ,,10312,1,0,1,"2,475","2,495",1986,1, A5 ,525000,10/22/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,112,,A5, 50 MAY PLACE ,,10312,1,0,1,"2,475","2,495",1986,1, A5 ,638729,4/24/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,119,,A5, 34 MAY PLACE ,,10312,1,0,1,"2,475","2,495",1986,1, A5 ,625000,6/28/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,6,,A5, 31 EAGAN AVENUE ,,10312,1,0,1,"1,800","1,825",1986,1, A5 ,500000,10/18/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,22,,A5, 5 EAGAN AVENUE ,,10312,1,0,1,"1,508","1,521",1986,1, A5 ,346788,11/29/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,38,,A5, 94 SEGUINE PLACE ,,10312,1,0,1,"2,300","1,320",1986,1, A5 ,100,3/23/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,38,,A5, 94 SEGUINE PLACE ,,10312,1,0,1,"2,300","1,320",1986,1, A5 ,395460,9/20/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,41,,A5, 90 SEGUINE PLACE ,,10312,1,0,1,"1,508","1,068",1986,1, A5 ,0,6/13/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,161,,A5, 97 JEANETTE AVENUE ,,10312,1,0,1,"2,720","1,734",2007,1, A5 ,0,2/2/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,10,,A2, 147 FABIAN STREET ,,10312,1,0,1,"4,200","1,848",1965,1, A2 ,0,6/12/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,47,,A1, 76 EAGAN AVENUE ,,10312,1,0,1,"10,000","1,718",0,1, A1 ,625000,2/28/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,42,,A5, 36 EAGAN AVENUE ,,10312,1,0,1,"2,333","1,515",1992,1, A5 ,475000,8/17/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,141,,A5, 34 EAGAN AVENUE ,,10312,1,0,1,"1,333","1,010",1992,1, A5 ,427000,12/10/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,7,,A5, 70 LORRAINE AVENUE ,,10312,1,0,1,"2,730","1,700",2004,1, A5 ,542500,3/19/2018
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,24,,A5, 49 ENDVIEW STREET ,,10312,1,0,1,"2,260","1,700",2004,1, A5 ,555000,1/31/2018
