"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
",TAX CLASS AS OF FINAL ROLL 18/19,"BLOCK
","LOT
","EASE-MENT
",BUILDING CLASS AS OF FINAL ROLL 18/19,"ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,22,,A9,8645 16TH AVENUE,,11214,1,0,1,"2,058","1,492",1930,1,A9,0,4/23/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,48,,A9,12 BAY 13TH STREET,,11214,1,0,1,"3,142","3,200",1999,1,A9,0,2/27/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6363,48,,A9,12 BAY 13TH STREET,,11214,1,0,1,"3,142","3,200",1999,1,A9,0,2/11/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6364,74,,A5,72 BAY 14TH STREET,,11214,1,0,1,"2,492",972,1950,1,A5,0,8/15/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,42,,S1,1730 86TH STREET,,11214,1,1,2,"1,342","1,920",1926,1,S1,"1,630,000",2/8/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,43,,S1,1732 86TH STREET,,11214,1,1,2,"1,342","1,920",1926,1,S1,"1,630,000",2/8/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6370,66,,A9,28 BAY 20TH STREET,,11214,1,0,1,"2,417","1,584",1930,1,A9,0,6/18/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6370,66,,A9,28 BAY 20TH STREET,,11214,1,0,1,"2,417","1,584",1930,1,A9,0,6/11/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6377,32,,A9,23 BAY 26TH STREET,,11214,1,0,1,"3,867","2,288",1899,1,A9,"1,200,000",9/20/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6395,20,,A5,135 BAY 10TH STREET,,11228,1,0,1,"2,417","2,000",1935,1,A5,0,9/9/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6397,63,,A2,132 BAY 13 STREET,,11214,1,0,1,"2,708",730,1910,1,A2,"1,150,000",3/28/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6401,10,,S1,1725 BATH AVENUE,,11214,1,1,2,"1,160","2,320",1920,1,S1,"980,000",2/21/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6402,4,,S1,1763 BATH AVENUE,,11214,1,1,2,980,"1,525",1927,1,S1,0,6/19/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6425,15,,B1,231 BAY 7TH STREET,,11228,2,0,2,"2,191","1,708",1935,1,A5,"990,000",10/10/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6427,21,,A1,8805 15TH AVENUE,,11228,1,0,1,"4,559","1,440",1920,1,A1,"999,000",5/28/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6428,65,,A9,228 BAY 11TH STREET,,11228,1,0,1,"1,990","1,328",1925,1,A9,0,8/2/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,10,,A5,235 BAY 11TH STREET,,11228,1,0,1,"1,800","1,296",1935,1,A5,0,9/25/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,56,,A5,8804 16TH AVENUE,,11214,1,0,1,"1,655","1,156",1960,1,A5,0,11/25/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442,30,,S1,2004 BATH AVENUE,,11214,1,1,2,755,"1,330",1925,1,S1,0,5/7/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,66,,A9,300 BAY 10TH STREET,,11228,1,0,1,"1,933","1,152",1920,1,A9,"850,000",10/29/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,67,,A9,302 BAY 10TH STREET,,11228,1,0,1,"1,933","1,152",1920,1,A9,"768,000",6/17/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,212,,A5,8866 16TH AVENUE,,11214,1,0,1,"1,696",992,1950,1,A5,"765,000",9/5/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,219,,A5,88-80 16TH AVENUE,,11214,1,0,1,"1,760",992,1950,1,A5,0,5/22/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,76,,A5,317 BAY 14TH STREET,,11214,1,0,1,"1,511",992,1950,1,A5,"770,000",5/22/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,94,,A5,275 BAY 14TH STREET,,11214,1,0,1,"1,795","1,152",1930,1,A5,"830,000",7/19/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,256,,A5,298 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"717,866",11/14/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,283,,A5,279 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1940,1,A5,"680,000",2/14/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,293,,A5,8881 16TH AVENUE,,11214,1,0,1,"2,127","1,188",1940,1,A5,0,2/15/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,293,,A5,8881 16TH AVENUE,,11214,1,0,1,"2,127","1,188",1940,1,A5,"858,000",12/16/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,301,,A5,317 BAY 13TH STREET,,11214,1,0,1,"1,619",928,1940,1,A5,0,9/4/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,302,,A5,319 BAY 13TH STREET,,11214,1,0,1,"1,619",928,1940,1,A5,"680,000",8/29/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,304,,A5,323 BAY 13TH STREET,,11214,1,0,1,"1,619",928,1940,1,A5,0,8/23/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,308,,A5,331 BAY 13TH STREET,,11214,1,0,1,"2,074","1,240",1940,1,A5,"550,000",11/6/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,335,,A5,1141 SHORE PARKWAY,,11214,1,0,1,"1,878",986,1945,1,A5,"832,000",6/11/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,338,,A5,1127 SHORE PARKWAY,,11214,1,0,1,"1,775","1,188",1940,1,A5,"890,000",12/20/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6464,161,,A5,8878 19TH AVENUE,,11214,1,0,1,"1,547","1,320",1940,1,A5,10,11/5/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,81,,A5,240 BAY 23RD STREET,,11214,1,0,1,"1,780","1,320",1945,1,A5,"730,000",8/20/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,91,,A5,243 BAY 23RD STREET,,11214,1,0,1,"6,367","1,320",1945,1,A5,"850,000",2/12/2019
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,91,,A5,243 BAY 23 STREET,,11214,1,0,1,"6,367","1,320",1945,1,A5,"995,000",11/5/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,5,,B1,8671 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,8/8/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,14,,B1,8645 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,"637,500",3/27/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,14,,B1,8645 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,1/7/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,18,,B1,8637 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,11/20/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,20,,B1,8631 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,6/14/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,21,,B1,8629 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,3/19/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,5,,B1,71 BAY 7TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,5/31/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6358,18,,B1,35 BAY 7TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,10/7/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,1,,B1,83 BAY 8TH STREET,,11228,2,0,2,"1,933","2,720",1930,1,B1,0,6/21/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,7,,B1,69 BAY 8TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,7/24/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6359,66,,B1,8672 15TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,5/2/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,7,,B2,1507 BENSON AVENUE,,11228,2,0,2,"2,142","2,040",1930,1,B2,"1,200,000",6/5/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6360,60,,B3,42 BAY 10TH STREET,,11228,2,0,2,"1,547","1,428",1930,1,B3,0,8/30/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6361,4,,B1,1539 BENSON AVENUE,,11228,2,0,2,"2,500","2,090",1930,1,B1,"1,280,000",11/20/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6363,56,,B2,30 BAY 13TH STREET,,11214,2,0,2,"2,167","1,944",1920,1,B2,0,5/29/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,24,,B1,41 BAY 13TH STREET,,11214,2,0,2,"2,167","1,960",1899,1,B1,0,2/1/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,29,,B1,29 BAY 13TH,,11214,2,0,2,"2,167","2,922",1960,1,B1,"1,380,000",1/28/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6364,31,,B1,25 BAY 13TH STREET,,11214,2,0,2,"3,250","3,206",1960,1,B1,"1,738,000",6/28/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6365,8,,B1,1659 BENSON AVENUE,,11214,2,0,2,"1,800","2,048",1910,1,B1,0,6/21/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6366,17,,B3,8657 17TH AVENUE,,11214,2,0,2,"1,869","1,748",1920,1,B3,"990,000",11/21/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6368,49,,S2,8646 18TH AVENUE,,11214,2,1,3,"2,199","2,800",1931,1,S2,0,7/24/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6369,87,,B1,88 BAY 19TH STREET,,11214,2,0,2,"1,904","1,456",1935,1,B1,0,4/15/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6370,13,,B2,97 BAY 19TH STREET,,11214,2,0,2,"1,247","1,440",1925,1,B2,"700,000",1/8/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6371,70,,B3,8646 19TH AVENUE,,11214,2,0,2,"2,417","3,380",1930,1,B3,"1,060,000",9/10/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6372,7,,S2,8705 19TH AVENUE,,11214,2,1,3,"1,540","3,940",1919,1,S2,"1,780,000",12/5/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6374,11,,B1,95 BAY 23RD STREET,,11214,2,0,2,"2,825","2,909",1960,1,B1,"1,420,000",12/9/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6378,15,,B9,8667 21ST AVENUE,,11214,2,0,2,"1,933","2,100",1960,1,B9,0,3/8/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6392,56,,B1,120 BAY 8TH STREET,,11228,2,0,2,"2,296","2,160",1930,1,B1,"1,665,000",6/12/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,44,,B1,8688 15TH AVENUE,,11228,2,0,2,"2,296","2,160",1940,1,B1,0,6/3/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,56,,B1,8724 15TH AVENUE,,11228,2,0,2,"2,296","2,160",1940,1,B1,"1,320,000",6/13/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6393,73,,B1,8756 15TH AVENUE,,11228,2,0,2,"1,933","2,347",1940,1,B1,0,2/8/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6394,25,,B1,8723 15TH AVENUE,,11228,2,0,2,"2,336","2,160",1940,1,B1,0,7/15/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6395,32,,B3,107 BAY 10TH STREET,,11228,2,0,2,"1,933","1,496",1925,1,B3,"820,000",7/29/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6396,62,,B9,8732 16TH AVENUE,,11214,2,0,2,"1,933","2,160",1960,1,B9,"1,298,000",12/18/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,3,,S2,1643 BATH AVENUE,,11214,2,1,3,"4,167","4,000",1926,1,S2,0,8/8/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,44,,B1,92 BAY 14TH STREET,,11214,2,0,2,"1,767","1,888",1930,1,B1,0,8/23/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,44,,B1,92 BAY 14TH STREET,,11214,2,0,2,"1,767","1,888",1930,1,B1,"200,000",5/28/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,53,,B1,120 BAY 14TH STREET,,11214,2,0,2,"2,167","3,432",1925,1,B1,0,12/16/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6398,133,,B1,103 BAY 13TH STREET,,11214,2,0,2,"2,167","2,953",1960,1,B1,"1,300,000",4/18/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6401,39,,B2,128 BAY 17TH STREET,,11214,2,0,2,"4,833","2,856",1925,1,B2,0,12/30/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6413,61,,C0,130 BAY 29TH STREET,,11214,3,0,3,"3,384","4,221",2019,1,B3,"1,950,000",6/7/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6424,61,,B2,210 BAY 7TH STREET,,11228,2,0,2,"3,867","2,194",1930,1,B2,"1,710,000",10/3/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,69,,B2,8834 15TH AVENUE,,11228,2,0,2,"3,867","3,992",2009,1,B2,0,12/12/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6426,69,,B2,8834 15TH AVENUE,,11228,2,0,2,"3,867","3,992",2009,1,B2,0,3/13/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6427,62,,B9,224 BAY 10TH STREET,,11228,2,0,2,"3,867","3,192",1920,1,B9,"1,295,000",4/11/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6428,14,,B2,227 BAY 10TH STREET,,11228,2,0,2,"3,867","2,940",1920,1,B2,0,8/23/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6429,36,,B1,1554 BATH AVENUE,,11228,2,0,2,"4,292","1,800",1930,1,B1,"1,200,000",1/22/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6430,15,,B9,8821 16TH AVENUE,,11214,2,0,2,"2,120","2,620",1950,1,B9,"950,000",12/6/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6430,15,,B9,8821 16TH AVENUE,,11214,2,0,2,"2,120","2,620",1950,1,B9,"870,000",1/17/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6431,46,,S2,1644 BATH AVENUE,,11214,2,1,3,"2,500","4,824",1910,1,S2,0,5/22/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6432,3,,B1,1669 CROPSEY AVE,,11214,2,0,2,"2,881","2,320",1930,1,B1,0,1/31/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6432,8,,B1,1659 CROPSEY AVENUE,,11214,2,0,2,"1,916","1,762",1960,1,B1,"950,000",10/17/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6432,59,,B2,8844 17TH AVENUE,,11214,2,0,2,"5,633","2,074",1920,1,B2,0,1/31/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6433,43,,B3,8786 BAY 16TH ST,,11214,2,0,2,"2,417","2,164",1920,1,B3,"361,244",11/12/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6434,1,,B3,1751 CROPSEY AVENUE,,11214,2,0,2,"1,785","2,114",1930,1,B3,0,8/6/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6441,45,,S2,8782 20TH AVENUE,,11214,2,1,3,"2,660","3,118",1960,1,S2,"1,700,000",4/23/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6442,18,,B3,8785 20TH AVENUE,,11214,2,0,2,"3,867","2,514",1920,1,B3,"1,250,000",5/17/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6444,18,,B3,187 BAY 26TH STREET,,11214,2,0,2,"3,867","2,843",1899,1,B3,0,6/5/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6445,1,,B1,2121 CROPSEY AVENUE,,11214,2,0,2,"2,925","2,406",1925,1,B1,0,9/23/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6445,38,,B3,178 BAY 28TH STREET,,11214,2,0,2,"1,933","2,640",1910,1,B3,0,1/10/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6459,21,,B9,303 BAY 8TH STREET,,11228,2,0,2,"1,442","1,640",1925,1,B9,0,7/31/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6459,23,,B9,299 BAY 8TH STREET,,11228,2,0,2,"1,442","1,640",1925,1,B9,"899,000",6/10/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,27,,B9,8887 15TH AVENUE,,11228,2,0,2,"2,900","2,520",1965,1,B9,0,9/24/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,38,,B3,8861 15TH AVENUE,,11228,2,0,2,"3,867","2,220",1920,1,B3,"1,680,000",10/3/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,89,,B1,313 BAY 10TH STREET,,11228,2,0,2,"1,933","1,860",1955,1,B1,0,11/6/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,148,,B1,312 BAY 11TH STREET,,11228,2,0,2,"1,885","1,729",1955,1,B1,"1,080,000",8/1/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,210,,B9,8862 16TH AVENUE,,11214,2,0,2,"1,584",992,1950,1,B9,"755,000",2/22/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6460,309,,B3,336 BAY 10TH STREET,,11228,2,0,2,"1,740","1,876",1950,1,B3,"1,050,000",7/18/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,22,,B1,242 BAY 14TH STREET,,11214,2,0,2,"1,746","1,890",1940,1,B1,"983,000",4/16/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,30,,B1,245 BAY 14TH STREET,,11214,2,0,2,"1,552","1,536",1940,1,B1,0,9/27/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,31,,B1,247 BAY 14TH STREET,,11214,2,0,2,"1,746","1,890",1940,1,B1,"905,000",5/28/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,228,,B9,8943 16TH AVENUE,,11214,2,0,2,"2,013","1,240",1940,1,B9,"980,000",10/29/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,257,,B1,300 BAY 13TH STREET,,11214,2,0,2,"1,649",928,1945,1,B1,10,3/30/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,298,,B3,311 BAY 13TH STREET,,11214,2,0,2,"1,632",928,1940,1,B3,0,12/9/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6461,323,,B3,322 BAY 13TH STREET,,11214,2,0,2,"2,020","1,240",1945,1,B3,"1,080,000",9/6/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6462,3,,B9,8873 17TH AVENUE,,11214,2,0,2,"1,920","2,280",1960,1,B9,"900,000",6/12/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6462,35,,B9,8868 BAY 16 STREET,,11214,2,0,2,"1,937","2,280",1960,1,B9,0,5/24/2019
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6463,54,,B1,8842 18TH AVENUE,,11214,2,0,2,"1,818","1,320",1950,1,B1,0,4/13/2019
