BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
4,AIRPORT JFK,39 TRANSPORTATION FACILITIES,4,14260,80,,V7,N/A ROCKAWAY BLVD,,11434,0,0,0,"268,092",0,,4,T1,"4,121,000",7/16/2020
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,41,,A5,19-62 81ST STREET,,11370,1,0,1,"1,800","1,224",1945,1,A5,"584,569",8/28/2020
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1003,,R2,"19-37 80TH STREET, 1",1,11370,1,0,1,0,0,,2,R2,"420,000",3/12/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,20,,A5,3-20 BEACH 41 STREET,,11691,1,0,1,"2,469","1,476",2005,1,A5,"300,000",12/16/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,27,,A5,336 BEACH 41ST STREET,,11691,1,0,1,"2,325","1,350",2005,1,A5,"360,000",6/23/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15831,27,,A5,344 BEACH 42 STREET,,11691,1,0,1,"2,470","1,332",2006,1,A5,"465,000",10/7/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,51,,A6,337 BEACH 43,,11691,1,0,1,"5,134","1,224",1920,1,A6,"235,000",10/27/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835,32,,A2,338 BEACH 45 STREET,,11691,1,0,1,"2,723","1,070",1920,1,A2,0,9/24/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835,59,,A2,355 BEACH 44 STREET,,11691,1,0,1,"3,431",971,1920,1,A2,"540,000",12/14/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15838,45,,A9,345 BEACH 46TH STREET,,11691,1,0,1,"3,804",926,1920,1,A9,"565,000",10/28/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849,15,,A6,4015 ROCKAWAY BEACH BLVD,,11691,1,0,1,"2,648","1,000",1920,1,A6,0,8/14/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849,22,,A6,40-01 ROCKAWAY BEACH BLVD,,11691,1,0,1,"2,626",618,1920,1,A6,"190,000",2/10/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15915,47,,A2,352 BEACH 68TH ST,,11692,1,0,1,"3,119","1,240",1925,1,A2,0,1/31/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15966,5,,A2,444 BEACH 45TH STREET,,11691,1,0,1,"3,650","1,294",2018,1,A2,"504,972",1/21/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,73,,A6,475 BEACH 45TH ST,,11691,1,0,1,"1,890",612,1920,1,A6,0,4/23/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,124,,A1,448 BEACH 47 STREET,,11691,1,0,1,"2,330","1,350",2005,1,A1,"210,000",1/6/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,40,,A9,6-21 BEACH 65 STREET,,11692,1,0,1,"2,250","1,530",1960,1,A9,"425,000",8/31/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,44,,A9,6-11 BEACH 65 STREET,,11692,1,0,1,"2,250","1,530",1960,1,A9,0,2/6/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16028,70,,A2,6702 ALMEDA AVENUE,,11692,1,0,1,"1,350",974,1930,1,A2,"350,000",12/29/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16029,33,,A2,68-17 BAYFIELD AVENUE,,11692,1,0,1,"4,400","1,087",1950,1,A2,"425,000",12/6/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16031,9,,A9,522 BEACH 65TH STREET,,11692,1,0,1,"2,500","1,925",1960,1,A9,"470,000",7/9/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16032,19,,A0,540 BEACH 66 STREET,,11692,1,0,1,"4,000","2,081",1950,1,A0,0,4/16/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16032,23,,A1,548 BEACH 66 STREET,,11692,1,0,1,"4,000","2,550",1950,1,A1,0,7/10/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16035,68,,A1,5-37 BEACH 68 STREET,,11692,1,0,1,"4,000","1,793",1930,1,A1,"150,000",9/8/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16036,1,,A2,506 BEACH 69 STREET,,11692,1,0,1,"10,000","2,324",1970,1,A2,"515,000",10/21/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,35,,A2,454 BEACH 65TH STREET,,11692,1,0,1,"2,800",900,1910,1,A2,"420,000",3/10/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,48,,A9,449 BEACH 64,,11692,1,0,1,"2,250","1,530",1960,1,A9,0,12/8/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,74,,A5,64-16 BEACH CHANNEL DRIVE,,11692,1,0,1,"2,000","1,440",2005,1,A5,"480,000",7/6/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16042,31,,A5,464 BEACH 69TH STREET,,11692,1,0,1,"1,500","1,500",2004,1,A5,0,2/24/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16042,58,,A1,429 BEACH 68TH STREET,,11692,1,0,1,"4,000","2,594",1920,1,A1,"460,000",1/31/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16047,37,,A1,69-14 ALMEDA AVENUE,,11692,1,0,1,"2,000","2,176",1920,1,A1,"500,000",8/31/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16047,47,,A1,69-34 ALMEDA AVENUE,,11692,1,0,1,"2,000","2,048",1920,1,A1,"430,000",2/19/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16048,27,,A1,567 BEACH 69TH STREET,,11692,1,0,1,"4,000","1,828",1920,1,A1,"235,000",8/6/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16049,1,,A2,69-51 BURCHELL AVE,,11692,1,0,1,"3,000","1,428",1960,1,A2,"360,400",8/12/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16050,18,,A1,69-27 ELIZABETH AVENUE,,11692,1,0,1,"4,000","1,240",1915,1,A1,"420,000",3/12/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16061,36,,A6,7420 HILLMEYER AVENUE,,11692,1,0,1,"4,000",620,1925,1,A6,"245,000",10/29/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16065,33,,A2,72-19 BURCHELL AVENUE,,11692,1,0,1,"4,000","1,952",1925,1,A2,"310,000",10/20/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16065,38,,A9,72-09 BURCHELL AVENUE,,11692,1,0,1,"2,375","1,474",1960,1,A9,"460,000",5/8/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16078,12,,A1,341 BEACH 73 STREET,,11692,1,0,1,"3,000","1,548",1920,1,A1,"244,000",2/4/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16078,12,,A1,341 BEACH 73RD STREET,,11692,1,0,1,"3,000","1,548",1920,1,A1,0,1/17/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16081,97,,A1,328 BEACH 70TH STREET,,11692,1,0,1,"3,680","1,391",1920,1,A1,"435,000",1/17/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15826,1,,B2,312 BEACH 37 STREET,,11691,2,0,2,"3,806","2,068",2003,1,B2,"660,000",11/13/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15826,4,,B2,318 BEACH 37 STREET,,11691,2,0,2,"3,600","2,068",2003,1,B2,"650,000",9/30/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15828,40,,B2,331 BEACH 38TH STREET,,11691,2,0,2,"2,975","2,068",2002,1,B2,0,2/5/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15834,68,,B2,4306 ROCKAWAY BEACH BLVD,,11691,2,0,2,"3,376","2,460",2006,1,B2,"10,000",4/23/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15834,69,,B2,43-10 ROCKAWAY BEACH BLVD,,11691,2,0,2,"3,389","2,460",2006,1,B2,0,5/12/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15836,12,,B3,316 BEACH 45 STREET,,11691,2,0,2,"2,269","2,340",1920,1,B3,0,2/20/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15836,12,,B3,316 BEACH 45 STREET,,11691,2,0,2,"2,269","2,340",1920,1,B3,10,1/13/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15837,13,,B2,326 BEACH 46 STREET,,11691,2,0,2,"3,804","1,390",1925,1,B2,"414,000",12/21/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,55,,B2,325 BEACH 46 STREET,,11691,2,0,2,"3,804","2,250",1960,1,B2,"420,000",6/3/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,72,,B9,306 BEACH 47TH STREET,,11691,2,0,2,"3,804","2,160",1960,1,B9,"250,000",1/22/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15839,1,,B2,312 BEACH 48 STREET,,11691,2,0,2,"3,804","1,116",1920,1,B2,0,12/18/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15848,45,,B3,216 BEACH 40 STREET,,11691,2,0,2,"2,837","1,308",1920,1,B3,0,9/21/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15848,46,,B3,218 BEACH 40TH ST,,11691,2,0,2,"2,837","1,620",1931,1,B3,0,4/23/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15850,3,,B2,41-13 ROCKAWAY BEACH BLVD,,11691,2,0,2,"1,890","2,000",2006,1,B2,"410,000",3/20/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15903,5,,B1,178 BEACH 61ST STREET,,11692,2,0,2,"4,170","2,052",2000,1,B1,"635,000",7/10/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,22,,B2,64-01 OCEAN AVENUE SOUTH,,11692,2,0,2,"5,687","2,515",2013,1,B2,0,8/12/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,66,,B2,178 SEA GRASS LANE,,11692,2,0,2,"3,210","2,515",2014,1,B2,"812,000",8/20/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,112,,B2,188 WHITE SANDS WAY,,11692,2,0,2,"2,246","3,018",2011,1,B2,"835,000",10/23/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,127,,B2,161 SEA GRASS LANE,,11692,2,0,2,"2,246","3,018",2010,1,B2,0,12/29/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,139,,B2,65-12 OCEAN AVENUE NORTH,,11692,2,0,2,"2,987","2,258",2012,1,B2,0,8/27/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,148,,B2,189 WHITE SANDS WAY,,11692,2,0,2,"3,870","3,174",2011,1,B2,0,9/16/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,179,,B2,6403 OCEAN AVENUE NORTH,,11692,2,0,2,"2,120","3,018",2014,1,B2,"995,000",12/8/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,258,,B2,66-12 SEASPRAY AVENUE,,11692,2,0,2,"3,265","2,258",2011,1,B2,"949,000",12/8/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,259,,B2,66-14 SEASPRAY AVENUE,,11692,2,0,2,"2,143","2,908",2011,1,B2,"980,000",1/16/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15915,71,,B2,317 BEACH 67 STREET,,11692,2,0,2,"3,033","2,156",1018,1,B2,10,10/21/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15916,39,,B2,340 BEACH 69TH STREET,,11692,2,0,2,"4,000","2,614",1925,1,B2,"400,000",8/26/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15932,50,,B1,143 BEACH 60 STREET,,11692,2,0,2,"3,267","1,994",1999,1,B1,0,9/10/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15952,17,,B2,434 BEACH 36 STREET,,11691,2,0,2,"4,600","2,433",1940,1,B2,0,1/27/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15952,46,,B2,4-31 BEACH 35 STREET,,11691,2,0,2,"6,498","2,068",2003,1,B2,0,5/11/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15953,70,,B2,403 BEACH 36TH STREET,,11691,2,0,2,"5,062","2,068",2003,1,B2,"450,000",11/10/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15954,15,,B2,428 BEACH 38 STREET,,11691,2,0,2,"3,000","1,728",1920,1,B2,"330,000",2/18/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15962,78,,B2,533 BEACH 43 STREET,,11691,2,0,2,"2,558","2,464",2004,1,B2,"515,000",3/5/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,9,,B2,412 BEACH 44 STREET,,11691,2,0,2,"2,602","1,254",1899,1,B2,0,3/23/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15965,9,,B2,412 BEACH 44 STREET,,11691,2,0,2,"2,602","1,254",1899,1,B2,"290,005",2/3/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15966,54,,B2,491 BEACH 44 STREET,,11691,2,0,2,"2,558","2,000",2005,1,B2,"605,000",11/25/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15968,14,,B2,426 BEACH 46 STREET,,11691,2,0,2,"4,280","2,592",2004,1,B2,"576,500",6/24/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15969,30,,B2,466 BEACH 47TH STREET,,11691,2,0,2,"2,253","1,650",2003,1,B2,0,2/5/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15972,6,,B9,414 BEACH 48TH STREET,,11691,2,0,2,"2,473","1,869",1960,1,B9,0,10/8/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15972,19,,B9,448 BEACH 48TH STREET,,11691,2,0,2,"2,473","1,869",1960,1,B9,"650,000",8/4/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,37,,B2,62-27 DECOSTA AVENUE,,11692,2,0,2,"3,179","2,103",2017,1,B2,1,12/30/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,96,,B2,62-50 HILLMEYER ROAD,,11692,2,0,2,"3,179","2,284",2019,1,B2,"669,000",10/1/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,161,,B2,6259 DECOSTA AVENUE,,11692,2,0,2,"3,050","2,223",2019,1,B2,"660,000",3/3/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16005,162,,B2,N/A DECOSTA AVENUE,,11692,2,0,2,"3,267","2,223",2019,1,B2,"732,122",4/7/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16023,20,,B2,632 BEACH 64TH STREET,,11692,2,0,2,"3,400","2,068",1996,1,B2,0,11/3/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16025,1,,B2,65-41 BAYFIELD AVENUE,,11692,2,0,2,"4,000","2,256",1960,1,B2,"403,908",7/1/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16027,44,,B2,603 BEACH 66TH STREET,,11692,2,0,2,"3,950","2,150",2001,1,B2,"630,000",3/12/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16028,4,,B2,6-04 BEACH 68 STREET,,11692,2,0,2,"2,674","1,900",1965,1,B2,0,11/15/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,22,,B9,642 BEACH 69 STREET,,11692,2,0,2,"2,725","1,848",1960,1,B9,0,6/25/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16029,64,,B3,611 BEACH 68TH STREET,,11692,2,0,2,"2,750","2,016",1960,1,B3,"631,000",4/17/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16030,59,,B2,533 BEACH 63 STREET,,11692,2,0,2,"3,164","1,978",2000,1,B2,"375,180",1/22/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16031,28,,B2,562 BEACH 65TH STREET,,11692,2,0,2,"2,500","1,870",2018,1,B2,0,10/27/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16031,60,,B9,523 BEACH 64 STREET,,11692,2,0,2,"2,950","2,250",1960,1,B9,0,4/25/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16031,62,,B9,521 BEACH 64TH STREET,,11692,2,0,2,"2,950","2,250",1960,1,B9,"515,000",2/7/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16034,19,,B2,5-40 BEACH 68 STREET,,11692,2,0,2,"4,000","1,868",1930,1,B2,"470,000",6/11/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16034,47,,B2,551 BEACH 67 STREET,,11692,2,0,2,"3,000","1,890",2004,1,B2,"375,000",1/14/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16034,47,,B2,551 BEACH 67TH STREET,,11692,2,0,2,"3,000","1,890",2004,1,B2,0,9/24/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16035,50,,B2,68-15 ALMEDA AVENUE,,11692,2,0,2,"2,500","1,458",2003,1,B2,0,2/24/2020
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,40,,B9,469 BEACH 63 STREET,,11692,2,0,2,"3,550","2,062",1940,1,B9,"420,000",2/12/2020
