BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,9,,A5,4726 AMBOY ROAD,,10312,1,0,1,"3,067",910,2002,1,A5,0,7/2/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,46,,A1,119 LENZIE STREET,,10312,1,0,1,"8,000","3,660",1998,1,A1,"315,000",10/2/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,6,,A1,118 ELMBANK STREET,,10312,1,0,1,"6,200","2,580",1975,1,A1,"450,000",6/24/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,,A1,7 SANDGAP STREET,,10312,1,0,1,"2,500","1,222",1925,1,A2,"525,000",7/2/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,17,,A5,91 EAGAN AVENUE,,10312,1,0,1,"1,845","1,854",1986,1,A5,"480,000",1/14/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,83,,A1,7 SEGUINE PLACE,,10312,1,0,1,"3,989","2,300",2004,1,A1,"720,000",10/15/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,115,,A5,44 MAY PLACE,,10312,1,0,1,"2,475","2,495",1986,1,A5,0,12/11/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,124,,A5,22 MAY PLACE,,10312,1,0,1,"2,475","2,495",1986,1,A5,0,9/17/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,145,,A5,60 SEGUINE PLACE,,10312,1,0,1,"1,471","1,172",1986,1,A5,"429,000",11/19/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,16,,A5,15 EAGAN AVENUE,,10312,1,0,1,"2,550","1,825",1986,1,A5,"550,000",10/22/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,52,,A5,70 SEGUINE PLACE,,10312,1,0,1,"2,700","1,320",1986,1,A5,"455,500",7/15/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,46,,A5,44 LUCY LOOP,,10312,1,0,1,"2,700","1,500",2000,1,A5,"410,670",11/10/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,58,,A5,93 LORRAIN AVENUE,,10312,1,0,1,"1,650","1,548",2005,1,A5,"520,000",6/22/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,59,,A5,91 LORRAINE AVENUE,,10312,1,0,1,"1,650","1,548",2005,1,A5,"530,000",12/30/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,61,,A5,87 LORRAINE AVE,,10312,1,0,1,"1,650","1,548",2005,1,A5,"545,000",9/1/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,77,,A1,1068 ARDEN AVENUE,,10312,1,0,1,"4,200",790,1925,1,A1,0,8/20/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6215,44,,A2,142 FABIAN STREET,,10312,1,0,1,"7,500",800,1955,1,A2,0,6/8/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,34,,A5,12 EAGAN AVENUE,,10312,1,0,1,"1,333","1,145",1994,1,A5,"458,000",7/7/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,37,,A5,18 EAGAN AVENUE,,10312,1,0,1,"1,333","1,145",1994,1,A5,"435,000",8/20/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6217,8,,A1,121 BARCLAY AVENUE,,10312,1,0,1,"3,700","1,163",1925,1,A1,"650,000",12/17/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,1,,A5,64 LORRAINE AVENUE,,10312,1,0,1,"11,830","1,700",2004,1,A5,"472,000",5/29/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,14,,A5,90 LORRAINE AVENUE,,10312,1,0,1,"1,650","1,700",2004,1,A5,"580,000",5/1/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,65,,A5,46 ENDVIEW STREET,,10312,1,0,1,"2,678","1,344",2003,1,A5,"575,000",11/6/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,70,,A5,56 ENDVIEW STREET,,10312,1,0,1,"1,648","1,344",2003,1,A5,"518,000",12/7/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222,47,,A5,29 LORRAINE AVENUE,,10312,1,0,1,"2,400","1,500",2004,1,A5,"627,000",11/16/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6226,15,,A1,730 ANNADALE ROAD,,10312,1,0,1,"5,200","1,465",1930,1,A1,"631,000",10/1/2020
