BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,24,,A5,19-28 81ST STREET,,11370,1,0,1,"1,800","1,224",1945,1,A5,0,5/27/2021
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,12,,A5,21-14 81ST STREET,,11370,1,0,1,"1,800","1,224",1950,1,A5,"800,000",1/11/2021
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,15,,A5,21-20 81ST STREET,,11370,1,0,1,"1,800","1,224",1950,1,A5,0,4/30/2021
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,26,,A5,21-42 81ST ST,,11370,1,0,1,"1,800","1,224",1950,1,A5,"815,000",6/25/2021
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,62,,A5,21-19 80TH STREET,,11370,1,0,1,"1,800","1,224",1950,1,A5,"950,000",8/17/2021
4,AIRPORT LA GUARDIA,02 TWO FAMILY DWELLINGS,1,976,1,,B1,21-01 80TH STREET,,11370,2,0,2,"2,100","2,765",1950,1,B1,0,8/29/2021
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15828,53,,A5,303 BEACH 38TH STREET,,11691,1,0,1,"3,810","1,200",2002,1,A5,0,3/30/2021
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,20,,A5,3-20 BEACH 41 STREET,,11691,1,0,1,"2,469","1,476",2005,1,A5,"300,000",12/16/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,43,,A2,339 BEACH 40 STREET,,11691,1,0,1,"1,880",792,1920,1,A2,"397,000",7/9/2021
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835,59,,A2,355 BEACH 44 STREET,,11691,1,0,1,"3,431",971,1920,1,A2,"540,000",12/14/2020
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835,59,,A2,355 BEACH 44 STREET,,11691,1,0,1,"3,431",971,1920,1,A2,"735,000",4/30/2021
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15837,19,,A6,338 BEACH 46 STREET,,11691,1,0,1,"7,608",745,1920,1,A6,0,7/12/2021
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15839,43,,A2,353 BEACH 47TH STREET,,11691,1,0,1,"1,888",608,1920,1,A2,"431,325",5/21/2021
