"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","TAX CLASS AT PRESENT
","BLOCK
","LOT
","EASE-MENT
","BUILDING CLASS AT PRESENT
","ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3037,101, ,S0,443 EAST 180 STREET                      ,            ,10457, 1 , 2 , 3 ," 1,293 "," 2,310 ",1952,1,S0, -   ,8/6/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3043,55, ,A1,1948 BATHGATE AVENUE                     ,            ,10457, 1 , -   , 1 ," 2,356 "," 2,047 ",1901,1,A1," 220,000 ",6/22/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,52, ,A1,2047 BATHGATE AVENUE                     ,            ,10457, 1 , -   , 1 ," 2,329 "," 1,431 ",1901,1,A1," 273,796 ",9/21/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,52, ,A1,2047 BATHGATE AVENUE                     ,            ,10457, 1 , -   , 1 ," 2,329 "," 1,431 ",1901,1,A1," 231,244 ",9/21/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3048,27, ,A1,538 EAST 182 STREET                      ,            ,10457, 1 , -   , 1 ," 1,209 "," 1,048 ",1901,1,A1, -   ,9/20/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3048,27, ,A1,538 EAST 182 STREET                      ,            ,10457, 1 , -   , 1 ," 1,209 "," 1,048 ",1901,1,A1, -   ,3/22/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3048,28, ,A1,540 EAST 182 STREET                      ,            ,10457, 1 , -   , 1 ," 1,209 "," 1,048 ",1901,1,A1," 290,000 ",9/27/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,86, ,S0,2364 WASHINGTON AVENUE                   ,            ,10458, 1 , 2 , 3 ," 1,911 "," 4,080 ",1931,1,S0, -   ,3/17/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,102, ,A1,2329 BASSFORD AVENUE                     ,            ,10458, 1 , -   , 1 , 919 ," 1,248 ",1901,1,A1, -   ,1/19/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2900,61, ,S2,406 EAST TREMONT AVENUE                  ,            ,10457, 2 , 1 , 3 ," 1,855 "," 4,452 ",1931,1,S2," 399,000 ",2/24/2016
