"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","TAX CLASS AT PRESENT
","BLOCK
","LOT
","EASE-MENT
","BUILDING CLASS AT PRESENT
","ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,9, ,A5,4726 AMBOY ROAD                          ,            ,10312, 1 , -   , 1 ," 3,067 "," 1,110 ",2002,1,A5," 520,000 ",4/21/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,30, ,A1,1306 ARDEN AVENUE                        ,            ,10312, 1 , -   , 1 ," 7,500 "," 1,890 ",1952,1,A1, -   ,5/4/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5395,15, ,A1,10 EDWIN STREET                          ,            ,10312, 1 , -   , 1 ," 7,000 "," 2,200 ",1980,1,A1, 10 ,4/21/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5397,60, ,A1,33 EYLANDT STREET                        ,            ,10312, 1 , -   , 1 ," 10,120 "," 3,516 ",1984,1,A1, -   ,8/10/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5399,26, ,A1,235 KOCH BOULEVARD                       ,            ,10312, 1 , -   , 1 ," 9,555 "," 1,528 ",1960,1,A1, -   ,2/11/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5401,33, ,A1,17 WEAVER STREET                         ,            ,10312, 1 , -   , 1 ," 11,000 "," 3,214 ",1980,1,A1," 915,000 ",1/15/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5405,47, ,A2,369 HAROLD AVENUE                        ,            ,10312, 1 , -   , 1 ," 9,800 "," 1,785 ",1980,1,A2, -   ,1/11/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,37, ,A1,111 ELMBANK STREET                       ,            ,10312, 1 , -   , 1 ," 2,500 "," 1,700 ",1999,1,A1," 520,000 ",3/25/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5408,7, ,A2,192 BATHGATE STREET                      ,            ,10312, 1 , -   , 1 ," 2,500 ", 572 ,1930,1,A2," 290,000 ",9/2/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,24, ,A5,79 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,845 "," 1,854 ",1986,1,A5," 425,000 ",7/29/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6209,69, ,A5,195 MOSELY AVENUE                        ,            ,10312, 1 , -   , 1 ," 2,665 "," 2,092 ",2007,1,A5," 579,000 ",11/21/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,4, ,A5,35 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,508 "," 1,521 ",1986,1,A5, -   ,7/25/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,15, ,A5,17 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,508 "," 1,521 ",1986,1,A5," 370,000 ",10/14/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,47, ,A5,42 LUCY LOOP                             ,            ,10312, 1 , -   , 1 ," 2,700 "," 2,200 ",2000,1,A5, -   ,10/18/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,50, ,A5,36 LUCY LOOP                             ,            ,10312, 1 , -   , 1 ," 2,870 "," 2,200 ",2000,1,A5," 470,000 ",5/6/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,59, ,A5,91 LORRAINE AVENUE                       ,            ,10312, 1 , -   , 1 ," 1,650 "," 2,048 ",2005,1,A5," 468,000 ",9/7/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,154, ,A1,121 JEANNETTE AVENUE                     ,            ,10312, 1 , -   , 1 ," 4,300 "," 3,500 ",2000,1,A1," 750,000 ",7/5/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6214,14, ,A1,137 FABIAN STREET                        ,            ,10312, 1 , -   , 1 ," 5,000 "," 2,788 ",1982,1,A1," 750,000 ",1/22/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6214,33, ,A5,48 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 2,400 "," 1,852 ",2000,1,A5," 490,000 ",1/6/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6215,35, ,A1,124 FABIAN STREET                        ,            ,10312, 1 , -   , 1 ," 7,500 "," 3,664 ",1965,1,A1," 685,000 ",10/18/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,33, ,A5,10 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 2,333 "," 1,515 ",1994,1,A5," 372,500 ",5/27/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,35, ,A5,14 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,333 "," 1,515 ",1994,1,A5," 413,000 ",9/9/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,46, ,A5,115 MOSELY AVENUE                        ,            ,10312, 1 , -   , 1 ," 2,500 "," 2,008 ",2001,1,A5, -   ,6/28/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,20, ,A5,57 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,759 "," 2,285 ",2004,1,A5," 512,900 ",10/6/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,22, ,A5,53 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,759 "," 2,285 ",2004,1,A5," 483,000 ",6/30/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,23, ,A5,51 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,567 "," 2,285 ",2004,1,A5," 477,000 ",6/20/2016
