"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
",TAX CLASS AS OF FINAL ROLL 17/18,"BLOCK
","LOT
","EASE-MENT
",BUILDING CLASS AS OF FINAL ROLL 17/18,"ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5395,19, ,A1,4 EDWIN STREET, ,10312,1,0,1," 7,258 "," 2,230 ",1980,1,A1,"866,000",8/3/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5407,10, ,A2,112 ELMBANK STREET, ,10312,1,0,1," 6,242 "," 1,768 ",1975,1,A2,"735,000",11/7/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5407,39, ,A2,193 BATHGATE STREET, ,10312,1,0,1," 5,000 ", 808 ,1920,1,A2,"350,000",7/17/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,5426,32, ,A6,3 OCEAN DRIVEWAY, ,10312,1,0,1," 2,500 ", 540 ,1910,1,A6,0,6/3/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6205,15, ,A5,95 EAGAN AVENUE, ,10312,1,0,1," 1,546 "," 1,579 ",1986,1,A5,"475,000",9/7/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6205,22, ,A5,83 EAGAN AVENUE, ,10312,1,0,1," 1,546 "," 1,579 ",1986,1,A5,"437,500",5/30/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6205,58, ,A5,32 SEGUINE PLACE, ,10312,1,0,1," 1,471 "," 1,068 ",1986,1,A5,0,3/13/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6209,71, ,A5,191 MOSELY AVENUE, ,10312,1,0,1," 2,665 "," 1,592 ",2007,1,A5,0,5/5/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,6, ,A5,31 EAGAN AVENUE, ,10312,1,0,1," 1,800 "," 1,825 ",1986,1,A5,"354,900",12/13/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,14, ,A5,19 EAGAN AVENUE, ,10312,1,0,1," 1,508 "," 1,521 ",1986,1,A5,"412,000",8/22/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,16, ,A5,15 EAGAN AVENUE, ,10312,1,0,1," 2,550 "," 1,825 ",1986,1,A5,"250,000",12/20/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,34, ,A5,100 SEGUINE PLACE, ,10312,1,0,1," 1,550 "," 1,521 ",1986,1,A5,"439,000",6/29/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,40, ,A5,92 SEGUINE PLACE, ,10312,1,0,1," 1,800 "," 1,320 ",1986,1,A5,"300,000",6/30/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6211,40, ,A5,92 SEGUINE PLACE, ,10312,1,0,1," 1,800 "," 1,320 ",1986,1,A5,"410,000",12/18/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6212,57, ,A5,95 LORRAINE AVENUE, ,10312,1,0,1," 2,400 "," 1,548 ",2005,1,A5,"520,000",9/19/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6212,162, ,A5,93 JEANNETTE AVENUE, ,10312,1,0,1," 2,720 "," 1,734 ",2007,1,A5,"600,000",5/23/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6214,12, ,A2,143 FABIAN STREET, ,10312,1,0,1," 4,300 "," 2,270 ",1965,1,A2,"675,000",3/3/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6214,35, ,A5,54 EAGAN AVENUE, ,10312,1,0,1," 2,400 "," 1,368 ",2000,1,A5,0,1/3/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6216,43, ,A5,123 MOSELY AVENUE, ,10312,1,0,1," 2,500 "," 1,472 ",2001,1,A5,0,2/16/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,1, ,A5,64 LORRAINE AVENUE, ,10312,1,0,1," 11,830 "," 1,700 ",2004,1,A5,500,11/9/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,6, ,A5,68 LORRAINE AVENUE, ,10312,1,0,1," 2,584 "," 1,700 ",2004,1,A5,"507,500",1/13/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,19, ,A5,59 ENDVIEW STREET, ,10312,1,0,1," 1,759 "," 1,700 ",2004,1,A5,"529,000",1/9/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,21, ,A5,55 ENDVIEW STREET, ,10312,1,0,1," 1,759 "," 1,700 ",2004,1,A5,"540,000",5/22/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,7, ,A5,61 BARB STREET, ,10312,1,0,1," 1,585 "," 1,339 ",2004,1,A5,"535,000",5/5/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,10, ,A5,53 BARB STREET, ,10312,1,0,1," 1,585 "," 1,339 ",2004,1,A5,"520,000",3/15/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,21, ,A5,29 BARB STREET, ,10312,1,0,1," 1,485 "," 1,339 ",2004,1,A5,0,1/6/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,50, ,A5,12 ENDVIEW STREET, ,10312,1,0,1," 1,648 "," 1,344 ",2003,1,A5,0,3/12/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,59, ,A5,32 ENDVIEW STREET, ,10312,1,0,1," 1,648 "," 1,344 ",2003,1,A5,0,11/16/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6220,65, ,A5,46 ENDVIEW STREET, ,10312,1,0,1," 2,678 "," 1,344 ",2003,1,A5,"406,369",6/9/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6221,8, ,A5,1000 ARDEN AVENUE, ,10312,1,0,1," 1,595 "," 1,400 ",2005,1,A5,"480,000",11/28/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6221,46, ,A5,45 JEANNETTE AVENUE, ,10312,1,0,1," 2,400 "," 1,580 ",2004,1,A5,"539,900",4/6/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6221,47, ,A5,43 JEANNETTE AVENUE, ,10312,1,0,1," 2,400 "," 1,580 ",2004,1,A5,"542,000",2/24/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6222,40, ,A5,43 LORRAINE AVENUE, ,10312,1,0,1," 2,400 "," 1,500 ",2004,1,A5,"555,000",4/21/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6222,42, ,A5,39 LORRAINE AVENUE, ,10312,1,0,1," 2,400 "," 1,500 ",2004,1,A5,0,10/4/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6226,7, ,A2,822 ARDEN AVENUE, ,10312,1,0,1," 6,750 "," 2,478 ",1980,1,A2,"536,000",10/25/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6227,4, ,A2,105 JEFFERSON BOULEVARD, ,10312,1,0,1," 6,732 "," 1,561 ",1965,1,A2,0,4/5/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6232,76, ,A1,1002 DRUMGOOLE ROAD WEST, ,10312,1,0,1," 3,400 "," 1,248 ",1970,1,A1,0,11/21/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6233,25, ,A2,210 RENSSELAER AVENUE, ,10312,1,0,1," 4,000 ", 960 ,1960,1,A2,10,4/11/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6234,7, ,A1,329 JEFFERSON BOULEVARD, ,10312,1,0,1," 4,000 "," 2,178 ",1965,1,A1,"860,000",8/4/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6234,80, ,A2,233 RENSSELAER AVENUE, ,10312,1,0,1," 5,000 "," 1,176 ",1965,1,A2,0,3/27/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6235,21, ,A1,146 SINCLAIR AVENUE, ,10312,1,0,1," 8,000 "," 2,240 ",1964,1,A1,0,6/28/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6235,27, ,A2,140 SINCLAIR AVENUE, ,10312,1,0,1," 4,000 "," 1,176 ",1965,1,A2,"475,000",7/13/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6236,10, ,A5,385 JEFFERSON BOULEVARD, ,10312,1,0,1," 3,000 "," 1,850 ",2000,1,A5,"579,900",10/26/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6239,83, ,A1,257 CROWN AVENUE, ,10312,1,0,1," 9,600 "," 1,728 ",1975,1,A1,"837,478",9/27/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6242,28, ,A5,48 MOSELY AVENUE, ,10312,1,0,1," 4,070 "," 1,200 ",1975,1,A5,"100,000",4/5/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6245,108, ,A1,7 FURMAN STREET, ,10312,1,0,1," 6,400 "," 2,076 ",1970,1,A1,0,1/20/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6245,217, ,A1,50 PINE TERRACE, ,10312,1,0,1," 4,700 "," 2,336 ",1960,1,A1,0,10/5/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6245,217, ,A1,50 PINE TERRACE, ,10312,1,0,1," 4,700 "," 2,336 ",1960,1,A1,0,10/5/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6249,161, ,A1,35 ELY AVENUE, ,10312,1,0,1," 4,452 "," 1,768 ",1965,1,A1,"735,000",6/28/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6249,284, ,A2,113 NORTH PINE TERRACE, ,10312,1,0,1," 5,418 "," 1,056 ",1965,1,A2,"680,000",11/8/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6249,518, ,A1,20 EAST TENAFLY AVENUE, ,10312,1,0,1," 3,854 "," 1,638 ",1975,1,A1,0,7/20/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6249,524, ,A5,8 EAST TENAFLY AVENUE, ,10312,1,0,1," 5,510 "," 1,302 ",1975,1,A5,"490,000",3/6/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6249,649, ,A1,41 TENAFLY PLACE, ,10312,1,0,1," 11,197 "," 2,604 ",1975,1,A1,"999,950",9/25/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6261,24, ,A2,226 IONIA AVENUE, ,10312,1,0,1," 10,000 "," 1,792 ",1960,1,A2,10,5/1/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6261,59, ,A2,237 EDGEGROVE AVENUE, ,10312,1,0,1," 4,000 "," 1,150 ",1925,1,A2,"499,900",12/1/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6265,47, ,A2,217 RATHBUN AVENUE, ,10312,1,0,1," 4,000 "," 2,133 ",1975,1,A2,"421,000",12/13/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1B,6268,3, ,V0,290 STAFFORD AVENUE, ,10312,0,0,0," 4,000 ", -   ,0,1,A1,"899,000",12/18/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6268,5, ,A1,286 STAFFORD AVENUE, ,10312,1,0,1," 4,000 "," 2,002 ",1970,1,A1,"579,000",3/16/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6269,61, ,A2,267 STAFFORD AVENUE, ,10312,1,0,1," 6,100 ", 896 ,1940,1,A2,0,6/7/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6271,1, ,A1,716 WOODROW ROAD, ,10312,1,0,1," 8,928 "," 1,828 ",1940,1,A1,"875,000",8/4/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6271,28, ,A3,291 CROWN AVENUE, ,10312,1,0,1," 12,000 "," 4,040 ",1985,1,A3,"980,000",1/17/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6273,32, ,A3,339 CROWN AVENUE, ,10312,1,0,1," 4,492 ", -   ,2016,1,A3,"495,000",3/1/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6279,16, ,A2,215 SOUTH RAILROAD ST, ,10312,1,0,1," 4,080 "," 2,231 ",1985,1,A2,"562,500",7/20/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6281,14, ,A2,390 IONIA AVENUE, ,10312,1,0,1," 4,000 "," 1,951 ",1975,1,A2,"540,000",7/25/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6297,1, ,A2,480 LAMONT AVENUE, ,10312,1,0,1," 7,000 "," 2,168 ",1970,1,A2,"42,000",7/26/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6299,21, ,A2,396 RATHBUN AVENUE, ,10312,1,0,1," 4,000 "," 1,968 ",1975,1,A2,"575,000",5/11/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6301,60, ,A1,475 RENSSELAER AVENUE, ,10312,1,0,1," 4,000 "," 2,152 ",1970,1,A1,0,1/9/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6301,60, ,A1,475 RENSSELAER AVENUE, ,10312,1,0,1," 4,000 "," 2,152 ",1970,1,A1,"660,000",6/2/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6302,11, ,A1,440 SINCLAIR AVENUE, ,10312,1,0,1," 4,000 "," 2,160 ",1985,1,A1,"760,000",8/31/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6304,11, ,A3,414 VINELAND AVENUE, ,10312,1,0,1," 8,500 "," 3,600 ",1992,1,A3,"1,120,000",8/15/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6320,22, ,A2,133 DOWNES AVENUE, ,10312,1,0,1," 5,000 "," 1,125 ",1965,1,A2,"234,000",3/23/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6320,22, ,A2,133 DOWNES AVENUE, ,10312,1,0,1," 5,000 "," 1,125 ",1965,1,A2,0,4/14/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6320,71, ,A5,62 BUFFINGTON AVENUE, ,10312,1,0,1," 3,000 "," 1,724 ",1970,1,A5,"564,000",9/7/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6320,71, ,A5,62 BUFFINGTON AVENUE, ,10312,1,0,1," 3,000 "," 1,724 ",1970,1,A5,"564,000",9/7/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6321,4, ,A2,23 ALVINE AVENUE, ,10312,1,0,1," 4,400 ", 988 ,1935,1,A2,"380,000",3/13/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6323,3, ,A1,270 ALBEE AVENUE, ,10312,1,0,1," 4,000 "," 1,672 ",1975,1,A1,"520,000",3/28/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6352,1, ,A1,105 PEARE PLACE, ,10312,1,0,1," 4,000 "," 2,200 ",1997,1,A1,0,6/27/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6353,12, ,A1,118 PEARE PLACE, ,10312,1,0,1," 9,003 "," 3,000 ",1984,1,A1,"980,000",10/12/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6353,51, ,A1,90 BAYVIEW TERRACE, ,10312,1,0,1," 3,200 "," 1,600 ",2005,1,A1,"550,000",10/25/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6356,66, ,A1,436 HAROLD AVENUE, ,10312,1,0,1," 4,447 "," 2,500 ",1995,1,A1,0,3/29/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6360,72, ,A1,4827 HYLAN BOULEVARD, ,10312,1,0,1," 2,550 "," 1,600 ",2000,1,A1,"520,000",5/31/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6361,20, ,A1,219 KINGHORN STREET, ,10312,1,0,1," 6,750 "," 2,874 ",1984,1,A1,"875,000",5/8/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6364,37, ,A1,196 NOEL STREET, ,10312,1,0,1," 6,912 "," 2,420 ",1975,1,A1,0,1/18/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6364,87, ,A1,19 LUNA CIRCLE, ,10312,1,0,1," 15,600 "," 4,560 ",1980,1,A1,"1,250,000",3/17/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6365,1, ,A1,547 BARCLAY AVENUE, ,10312,1,0,1," 8,000 "," 2,467 ",1980,1,A1,0,8/1/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6366,32, ,A9,360 SHIRLEY AVENUE, ,10312,1,0,1," 6,000 "," 2,688 ",1987,1,A9,0,11/27/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6366,60, ,A1,211 NOEL STREET, ,10312,1,0,1," 6,000 "," 1,928 ",1975,1,A1,"212,000",11/29/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6370,64, ,A2,379 SHIRLEY AVENUE, ,10312,1,0,1," 3,000 ", 975 ,1910,1,A2,"424,068",2/28/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6373,145, ,A5,26 WINSLOW PLACE, ,10312,1,0,1," 3,442 "," 2,058 ",2015,1,A5,0,10/11/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6382,25, ,A1,640 SYCAMORE STREET, ,10312,1,0,1," 6,000 "," 1,960 ",1980,1,A1,0,5/10/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6398,19, ,A5,9 OCEANVIEW AVENUE, ,10312,1,0,1," 2,467 "," 1,016 ",1991,1,A5,"435,000",10/2/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6402,39, ,A2,10 ALLEN PLACE, ,10312,1,0,1," 6,000 "," 2,040 ",1952,1,A2,0,2/8/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6402,49, ,A2,32 ALLEN PLACE, ,10312,1,0,1," 6,000 "," 1,224 ",1940,1,A2,0,1/5/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6403,22, ,A1,373 KINGHORN STREET, ,10312,1,0,1," 4,000 "," 2,160 ",1935,1,A1,0,3/15/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6403,22, ,A1,373 KINGHORN STREET, ,10312,1,0,1," 4,000 "," 2,160 ",1935,1,A1,"570,000",3/15/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6403,22, ,A1,373 KINGHORN STREET, ,10312,1,0,1," 4,000 "," 2,160 ",1935,1,A1,0,10/3/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6406,47, ,A9,274 NOEL STREET, ,10312,1,0,1," 8,374 "," 4,000 ",1987,1,A9,0,12/7/2017
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6441,166, ,A2,48 NEWTON STREET, ,10312,1,0,1," 7,500 "," 1,740 ",1930,1,A2,"695,000",6/2/2017
