"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
",TAX CLASS AS OF FINAL ROLL 18/19,"BLOCK
","LOT
","EASE-MENT
",BUILDING CLASS AS OF FINAL ROLL 18/19,"ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,23,,A5, 8645 15TH AVENUE ,,11228,1,0,1,"1,547","1,428",1930,1, A5 ,750000,5/18/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6366,69,,A1, 8658 BAY 16TH STREET ,,11214,1,0,1,"4,833","1,724",1930,1, A1 ,0,10/25/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6366,72,,A1, 8664 BAY 16TH STREET ,,11214,1,0,1,"4,833","2,300",1925,1, A1 ,1720000,12/12/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,41,,S1, 1728 86TH STREET ,,11214,1,1,2,"1,342","1,920",1931,1, S1 ,1380000,7/26/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6371,20,,A9, 75 BAY 20TH   STREET ,,11214,1,0,1,"2,417","1,742",1930,1, A9 ,710000,2/21/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6373,73,,A1, 50 BAY 23RD STREET ,,11214,1,0,1,"2,417","1,672",1930,1, A1 ,0,1/8/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6380,73,,S1, 8672 BAY PARKWAY ,,11214,1,1,2,"1,740","2,124",1960,1, S1 ,968000,7/30/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,107,,S1, 1655 BATH AVENUE ,,11214,1,1,2,"1,260","1,440",1930,1, S1 ,750000,3/15/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6402,4,,S1, 1763 BATH AVENUE ,,11214,1,1,2,980,"1,525",1927,1, S1 ,10,10/27/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6406,25,,A1, 1906 BENSON AVENUE ,,11214,1,0,1,0,0,0,1, A1 ,0,10/21/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6431,57,,A9, 202 BAY 14TH STREET ,,11214,1,0,1,"2,015","1,458",1910,1, A9 ,0,10/1/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,59,,A1, 284 BAY 10 STREET ,,11228,1,0,1,"3,867","2,007",1925,1, A1 ,1660000,11/28/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,61,,A9, 286 BAY 10TH STREET ,,11228,1,0,1,"1,933","1,152",1920,1, A9 ,780000,1/9/2018
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,61,,A9, 286 BAY 10TH STREET ,,11228,1,0,1,"1,933","1,152",1920,1, A9 ,0,8/13/2018
