"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
",TAX CLASS AS OF FINAL ROLL 18/19,"BLOCK
","LOT
","EASE-MENT
",BUILDING CLASS AS OF FINAL ROLL 18/19,"ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,70,,A1,4445 PARK AVENUE,,10457,1,0,1,"1,694","1,497",1899,1,A1,"388,500",7/23/2019
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,29,,A9,2327 WASHINGTON AVENUE,,10458,1,0,1,"1,095","1,260",1910,1,A9,"110,000",12/6/2019
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3043,55,,A1,1948 BATHGATE AVENUE,,10457,1,0,1,"2,356","2,047",1901,1,A1,"470,000",3/8/2019
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,39,,A1,2075 BATHGATE AVENUE,,10457,1,0,1,"1,986","1,344",1899,1,A1,"420,000",5/24/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,137,,B1,496 CLAREMONT PARKWAY,,10457,2,0,2,"2,000","2,400",1993,1,B1,0,6/12/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,149,,B1,523 EAST 171 STREET,,10457,2,0,2,"2,000","2,400",1993,1,B1,"505,000",11/14/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,152,,B1,517 EAST 171 STREET,,10457,2,0,2,"2,000","2,400",1993,1,B1,"630,000",8/20/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927,119,,B1,1497 CROTONA PLACE,,10456,2,0,2,"1,900","2,394",1994,1,B1,"535,000",5/8/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,128,,B1,559 CLAREMONT PARKWAY,,10457,2,0,2,"2,361","2,394",1995,1,B1,"514,216",2/25/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3027,26,,B2,414 EAST 178 STREET,,10457,2,0,2,"2,000","2,364",1899,1,B2,"365,000",11/21/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030,61,,B3,4467 PARK AVENUE,,10457,2,0,2,"1,556","1,494",1899,1,B3,"310,000",4/24/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3036,140,,B1,2063 WASHINGTON AVENUE,,10457,2,0,2,"3,346","2,308",1997,1,B1,"640,000",2/7/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,32,,B3,455 EAST 180 STREET,,10457,2,0,2,"1,826","1,296",1899,1,B3,1,4/30/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,159,,B1,476 EAST 186 STREET,,10458,2,0,2,"2,033","2,400",1997,1,B1,"640,000",4/24/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045,110,,B1,2044 BATHGATE AVE,,10457,2,0,2,"2,785","2,565",1998,1,B1,"610,000",6/28/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3046,29,,B3,2094 WASHINGTON AVE,,10457,2,0,2,"2,182","2,588",1901,1,B3,"450,000",1/31/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,39,,B2,2249 BASSFORD AVENUE,,10457,2,0,2,899,"1,716",1901,1,B2,"500,000",9/19/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,40,,B2,493 FLETCHER PLACE,,10457,2,0,2,"1,637","1,972",1901,1,B2,"410,000",2/18/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,64,,B2,506 EAST 183 STREET,,10458,2,0,2,"1,316","2,112",1901,1,B2,"477,134",8/1/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,90,,B2,505 EAST 182 STREET,,10457,2,0,2,"1,960","2,278",1901,1,B2,"360,000",8/19/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,4,,B1,507 EAST 183 STREET,,10458,2,0,2,"1,380","2,805",1901,1,B1,"440,000",10/24/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,5,,B9,509 EAST 183RD STREET,,10458,2,0,2,"1,420","2,805",1901,1,B9,"649,500",8/23/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,7,,B2,2306 BASSFORD AVENUE,,10458,2,0,2,"2,085","3,374",1901,1,B2,"370,000",4/24/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,2918,5,,C0,1872 WASHINGTON AVE,,10457,3,0,3,"1,963","2,970",1910,1,C0,"495,000",4/17/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3029,28,,C0,2092 WEBSTER AVENUE,,10457,3,0,3,"2,122","3,510",1899,1,C0,0,9/4/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3031,145,,C0,412 EAST 187 STREET,,10458,3,0,3,"1,784","2,302",2004,1,C0,0,11/27/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3036,33,,C0,2091 WASHINGTON AVENUE,,10457,3,0,3,"2,022","3,854",1899,1,C0,0,12/28/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3037,98,,C0,2141 WASHINGTON AVENUE,,10457,3,0,3,"2,670","2,974",1899,1,C0,"549,855",12/24/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3037,107,,C0,459 EAST 181ST STREET,,10457,3,0,3,"1,095","2,779",2006,1,C0,"712,400",8/8/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3038,22,,C0,460 E 183RD ST,,10458,3,0,3,"1,485","1,536",1910,1,C0,"300,000",5/16/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3038,124,,C0,466 EAST 183 STREET,,10458,3,0,3,"1,204","2,889",2004,1,C0,0,6/24/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3038,124,,C0,466 EAST 183 STREET,,10458,3,0,3,"1,204","2,889",2004,1,C0,0,7/23/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3038,126,,C0,470 EAST 183,,10458,3,0,3,"1,278","2,955",2004,1,C0,0,6/19/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3038,126,,C0,470 EAST 183 STREET,,10458,3,0,3,"1,278","2,955",2004,1,C0,0,7/23/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3041,32,,C0,455 E 187TH STREET,,10458,3,0,3,"2,550","2,529",1910,1,C0,0,1/28/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3044,33,,C0,1985 BATHGATE AVENUE,,10457,3,0,3,"2,022","2,904",2000,1,C0,"709,670",8/12/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3046,47,,C0,2063 BATHGATE AVENUE,,10457,3,0,3,"2,422","2,400",1901,1,C0,0,10/17/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3048,2,,C0,2158 BATHGATE AVENUE,,10457,3,0,3,"2,633","1,956",1901,1,C0,"170,000",12/12/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3048,5,,C0,2164 BATHGATE AVENUE,,10457,3,0,3,"2,633","2,524",1901,1,C0,10,9/21/2019
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3050,84,,C0,2243 BATHGATE AVENUE,,10457,3,0,3,"1,562","3,168",1901,1,C0,"570,000",11/26/2019
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3036,35,,V0,2087 WASHINGTON AVENUE,,10457,0,0,0,"2,099",0,,1,V0,0,7/31/2019
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3050,88,,V0,2233 BATHGATE AVENUE,,10457,0,0,0,"2,336",0,,1,V0,"450,000",9/6/2019
