"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
",TAX CLASS AS OF FINAL ROLL 18/19,"BLOCK
","LOT
","EASE-MENT
",BUILDING CLASS AS OF FINAL ROLL 18/19,"ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,31,,A5,1942 81ST STREET,,11370,1,0,1,"1,800","1,224",1945,1,A5,"775,000",4/5/2019
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,38,,A5,19-56 81ST STREET,,11370,1,0,1,"1,800","1,224",1945,1,A5,0,6/18/2019
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,41,,A5,1962 81ST STREET,,11370,1,0,1,"1,800","1,224",1945,1,A5,0,11/21/2019
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,41,,A5,1962 81ST ST,,11370,1,0,1,"1,800","1,224",1945,1,A5,0,11/12/2019
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,12,,A5,2114 81 STREET,,11370,1,0,1,"1,800","1,224",1950,1,A5,0,4/24/2019
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,37,,A5,21-64 81ST STREET,,11370,1,0,1,"1,800","1,224",1950,1,A5,"670,000",12/6/2019
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,61,,A5,21-21 80TH STREET,,11370,1,0,1,"1,800","1,224",1950,1,A5,"985,000",9/26/2019
4,AIRPORT LA GUARDIA,02 TWO FAMILY DWELLINGS,1,949,60,,B1,19-61 80TH STREET,,11370,2,0,2,"2,000","2,400",1945,1,B1,"990,000",5/1/2019
4,AIRPORT LA GUARDIA,02 TWO FAMILY DWELLINGS,1,949,60,,B1,19-61 80TH STREET,,11370,2,0,2,"2,000","2,400",1945,1,B1,0,6/20/2019
4,AIRPORT LA GUARDIA,02 TWO FAMILY DWELLINGS,1,976,28,,B3,2146 81ST STREET,,11370,2,0,2,"1,800","1,224",1950,1,B3,"735,000",2/19/2019
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS,1,949,63,,C0,19-55 80TH STREET,,11370,3,0,3,"2,000","2,835",1945,1,C0,0,11/5/2019
4,AIRPORT LA GUARDIA,07 RENTALS - WALKUP APARTMENTS,2A,949,68,,C2,19-49 80TH STREET,,11370,6,0,6,"2,415","4,014",1971,2,C2,0,9/24/2019
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1028,,R2,"80-12 19TH AVENUE, 2",2,11370,1,0,1,0,0,,2,R2,"480,000",1/29/2019
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,14,,A6,3-16 BEACH 41ST STREET,,11691,1,0,1,"2,071",450,1920,1,A6,0,6/25/2019
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,22,,A6,342 BEACH 44TH ST,,11691,1,0,1,"1,915",563,1920,1,A6,"250,000",10/4/2019
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,23,,A1,344 BEACH 44TH ST,,11691,1,0,1,"1,915",703,1920,1,A1,"234,500",10/24/2019
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,49,,A6,339 BEACH 43 STREET,,11691,1,0,1,"5,137","1,044",1920,1,A6,0,12/19/2019
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,49,,A6,339 BEACH 43 STREET,,11691,1,0,1,"5,137","1,044",1920,1,A6,"161,750",11/21/2019
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,51,,A6,337 BEACH 43 STREET,,11691,1,0,1,"5,134","1,224",1920,1,A6,"208,750",11/21/2019
