BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
,,,,,,,,,,,,,,,,,,,,
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6359,70,,S1,8684 15TH AVENUE,,11228,1,1,2,"1,933","4,080",1930,1,S1,"1,300,000",4/28/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,48,,A5,14 BAY 10TH STREET,,11228,1,0,1,"2,513","1,428",1930,1,A5,"849,000",3/18/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,56,,A5,30 BAY 10TH STREET,,11228,1,0,1,"1,547","1,428",1930,1,A5,"75,000",11/30/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6362,23,,A9,43 BAY 11TH STREET,,11228,1,0,1,"2,280","1,052",1901,1,A9,0,11/4/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367,24,,A9,8645 BAY 16TH STREET,,11214,1,0,1,"1,571","1,456",1935,1,A9,"830,000",6/26/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6371,19,,A9,79 BAY 20TH STREET,,11214,1,0,1,"2,320","1,566",1930,1,A9,0,2/21/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6371,60,,A9,8620 19TH AVENUE,,11214,1,0,1,"2,417","2,106",1930,1,A9,"1,188,000",7/20/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6392,65,,A2,140 BAY 8 STREET,,11228,1,0,1,"3,222","1,804",1940,1,A2,"975,000",1/21/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6392,115,,A5,145 BAY 7TH STREET,,11228,1,0,1,"1,448","1,280",1945,1,A5,"870,000",10/15/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399,13,,A1,155 BAY 14TH ST,,11214,1,0,1,"3,680",936,1930,1,A1,"1,250,000",12/23/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6409,40,,A9,106 BAY 25TH STREET,,11214,1,0,1,"1,740","1,382",1915,1,A9,"805,000",12/2/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6414,38,,S1,2150 BENSON AVENUE,,11214,1,1,2,"3,866","4,870",1921,1,S1,0,10/14/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6426,29,,A1,195 BAY 8TH ST,,11228,1,0,1,"1,920","1,498",1945,1,A1,0,1/20/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6431,56,,A5,200 BAY 14TH STREET,,11214,1,0,1,"2,086","1,458",1910,1,A5,0,10/27/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6433,7,,A5,1709 CROPSEY AVENUE,,11214,1,0,1,"1,378","1,568",1920,1,A5,0,3/3/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6433,10,,A5,1703 CROPSEY AVENUE,,11214,1,0,1,"1,438","1,568",1937,1,A5,"760,000",6/29/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6442,130,,S1,2006 BATH AVE,,11214,1,1,2,755,"1,254",1925,1,S1,"800,000",7/22/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,231,,A1,8904 16TH AVENUE,,11214,1,0,1,"1,980","1,188",1950,1,A1,"820,910",6/24/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,245,,A5,1586 INDEPENDENCE AVENUE,,11228,1,0,1,"2,307","1,188",1950,1,A5,"985,000",1/23/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,90,,A5,283 BAY 14TH STREET,,11214,1,0,1,"1,795","1,152",1930,1,A5,0,11/10/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,95,,A5,271 BAY 14TH STREET,,11214,1,0,1,"1,795","1,204",1930,1,A5,0,11/16/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,136,,A5,322 BAY 14TH STREET,,11214,1,0,1,"1,511",928,1950,1,A5,"740,000",11/5/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,220,,A5,8933 16TH AVENUE,,11214,1,0,1,"2,105","1,240",1940,1,A5,"740,000",10/7/2020
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,246,,A5,278 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"750,000",8/26/2020
