BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,377,72,,B9,231 EAST 7TH,,10009,2,0,2,"1,718","5,154",1901,1,B9,0,10/2/2020
1,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,377,66,,C0,243 EAST 7TH STREET,,10009,3,0,3,"2,381","3,084",1899,1,C0,0,10/31/2020
1,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,377,66,,C0,243 EAST 7TH STREET,,10009,3,0,3,"2,381","3,084",1899,1,C0,"4,350,000",7/16/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,372,10,,C7,274 EAST 3RD,,10009,9,1,10,"2,021","6,445",1900,2,C7,0,12/27/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,374,1,,C7,301-303 EAST 4TH STREET,,10009,8,2,10,"1,501","6,929",1900,2,C7,"3,672,530",11/24/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,28,,C4,272 EAST 7TH STREET,,10009,24,0,24,"2,764","13,206",1900,2,C4,1,6/26/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 1A",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 1B/2B",,10009,19,0,19,"2,772","13,248",1920,2,C4,"290,000",2/7/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 1C/1D",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 2A",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 2C/D",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 3A",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 3B",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 3C/D",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 4A",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 4B",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 4C",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 4D/5D",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 5A/6A",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 5B",,10009,19,0,19,"2,772","13,248",1920,2,C4,"125,375",3/13/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 5C",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 6B/6D",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 6C",,10009,19,0,19,"2,772","13,248",1920,2,C4,"2,500",2/11/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,41,,C4,"745 EAST 6TH STREET, 2D",,10009,28,0,28,"4,542","18,254",1900,2,C4,"585,000",2/6/2020
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,54,,C4,"719 EAST 6TH STREET, 5D",,10009,20,0,20,"2,302","9,750",1900,2,C4,"249,508",6/3/2020
