BOROUGH,NEIGHBORHOOD,SALE PRICE
,,
3,BATH BEACH,"1,300,000"
3,BATH BEACH,"849,000"
3,BATH BEACH,"75,000"
3,BATH BEACH,0
3,BATH BEACH,"830,000"
3,BATH BEACH,0
3,BATH BEACH,"1,188,000"
3,BATH BEACH,"975,000"
3,BATH BEACH,"870,000"
3,BATH BEACH,"1,250,000"
3,BATH BEACH,"805,000"
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,"760,000"
3,BATH BEACH,"800,000"
3,BATH BEACH,"820,910"
3,BATH BEACH,"985,000"
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,"740,000"
3,BATH BEACH,"740,000"
3,BATH BEACH,"750,000"
3,BATH BEACH,0
3,BATH BEACH,"800,000"
3,BATH BEACH,"745,000"
3,BATH BEACH,"995,000"
3,BATH BEACH,"1,280,000"
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,"989,000"
3,BATH BEACH,0
3,BATH BEACH,"825,000"
3,BATH BEACH,"990,000"
3,BATH BEACH,"1,368,000"
3,BATH BEACH,0
3,BATH BEACH,10
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,"1,100,000"
3,BATH BEACH,"730,000"
3,BATH BEACH,0
3,BATH BEACH,"60,000"
3,BATH BEACH,"1,400,000"
3,BATH BEACH,"600,000"
3,BATH BEACH,"950,000"
3,BATH BEACH,"875,000"
3,BATH BEACH,0
3,BATH BEACH,"1,300,000"
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,"980,000"
3,BATH BEACH,"1,030,000"
3,BATH BEACH,"1,285,000"
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,"950,000"
3,BATH BEACH,"1,250,000"
3,BATH BEACH,0
3,BATH BEACH,"875,000"
3,BATH BEACH,"930,000"
3,BATH BEACH,"703,000"
3,BATH BEACH,"1,098,000"
3,BATH BEACH,"1,168,000"
3,BATH BEACH,0
3,BATH BEACH,"1,275,000"
3,BATH BEACH,0
3,BATH BEACH,"1,150,000"
3,BATH BEACH,"300,000"
3,BATH BEACH,"845,000"
3,BATH BEACH,"318,783"
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,0
3,BATH BEACH,"1,100,000"
3,BATH BEACH,"880,000"
3,BATH BEACH,"1,148,000"
3,BATH BEACH,0
3,BATH BEACH,"860,000"
3,BATH BEACH,"333,000"
3,BATH BEACH,"990,000"
