BOROUGH,NEIGHBORHOOD,SALE PRICE
1,ALPHABET CITY,"4,350,000"
1,ALPHABET CITY,"3,672,530"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"290,000"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"125,375"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"585,000"
1,ALPHABET CITY,"249,508"
1,ALPHABET CITY,"1,250,000"
1,ALPHABET CITY,"1,250,000"
1,ALPHABET CITY,"37,189"
1,ALPHABET CITY,"20,661"
1,ALPHABET CITY,"2,500,000"
1,ALPHABET CITY,"3,950,000"
1,ALPHABET CITY,"7,000,000"
1,ALPHABET CITY,"133,115"
1,ALPHABET CITY,"2,800,000"
1,ALPHABET CITY,"31,289,811"
1,ALPHABET CITY,"495,000"
1,ALPHABET CITY,"590,000"
1,ALPHABET CITY,"500,000"
1,ALPHABET CITY,"510,000"
1,ALPHABET CITY,"560,000"
1,ALPHABET CITY,"390,000"
1,ALPHABET CITY,"1,150,000"
1,ALPHABET CITY,"1,350,000"
1,ALPHABET CITY,"610,000"
1,ALPHABET CITY,"650,000"
1,ALPHABET CITY,"481,000"
1,ALPHABET CITY,"799,000"
1,ALPHABET CITY,"257,500"
1,ALPHABET CITY,"810,000"
1,ALPHABET CITY,"375,000"
1,ALPHABET CITY,"720,000"
1,ALPHABET CITY,"490,000"
1,ALPHABET CITY,"700,000"
1,ALPHABET CITY,"999,000"
1,ALPHABET CITY,"590,000"
1,ALPHABET CITY,"1,450,000"
1,ALPHABET CITY,"1,000"
1,ALPHABET CITY,"359,000"
1,ALPHABET CITY,"425,880"
1,ALPHABET CITY,"340,000"
1,ALPHABET CITY,"625,000"
1,ALPHABET CITY,"549,000"
1,ALPHABET CITY,"1,115,000"
1,ALPHABET CITY,"450,000"
1,ALPHABET CITY,"1,190,000"
1,ALPHABET CITY,"1,075,000"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"2,500"
1,ALPHABET CITY,"601,000"
1,ALPHABET CITY,"1,200,000"
1,ALPHABET CITY,"765,000"
1,ALPHABET CITY,"650,000"
