BOROUGH,NEIGHBORHOOD,SALE PRICE
4,AIRPORT JFK,"4,121,000"
4,AIRPORT LA GUARDIA,"584,569"
4,AIRPORT LA GUARDIA,"420,000"
4,ARVERNE,"300,000"
4,ARVERNE,"360,000"
4,ARVERNE,"465,000"
4,ARVERNE,"235,000"
4,ARVERNE,0
4,ARVERNE,"540,000"
4,ARVERNE,"565,000"
4,ARVERNE,0
4,ARVERNE,"190,000"
4,ARVERNE,0
4,ARVERNE,"504,972"
4,ARVERNE,0
4,ARVERNE,"210,000"
4,ARVERNE,"425,000"
4,ARVERNE,0
4,ARVERNE,"350,000"
4,ARVERNE,"425,000"
4,ARVERNE,"470,000"
4,ARVERNE,0
4,ARVERNE,0
4,ARVERNE,"150,000"
4,ARVERNE,"515,000"
4,ARVERNE,"420,000"
4,ARVERNE,0
4,ARVERNE,"480,000"
4,ARVERNE,0
4,ARVERNE,"460,000"
4,ARVERNE,"500,000"
4,ARVERNE,"430,000"
4,ARVERNE,"235,000"
4,ARVERNE,"360,400"
4,ARVERNE,"420,000"
4,ARVERNE,"245,000"
4,ARVERNE,"310,000"
4,ARVERNE,"460,000"
4,ARVERNE,"244,000"
4,ARVERNE,0
4,ARVERNE,"435,000"
4,ARVERNE,"660,000"
4,ARVERNE,"650,000"
4,ARVERNE,0
4,ARVERNE,"10,000"
4,ARVERNE,0
4,ARVERNE,0
4,ARVERNE,10
4,ARVERNE,"414,000"
4,ARVERNE,"420,000"
4,ARVERNE,"250,000"
4,ARVERNE,0
4,ARVERNE,0
4,ARVERNE,0
4,ARVERNE,"410,000"
4,ARVERNE,"635,000"
4,ARVERNE,0
4,ARVERNE,"812,000"
4,ARVERNE,"835,000"
4,ARVERNE,0
4,ARVERNE,0
4,ARVERNE,0
4,ARVERNE,"995,000"
4,ARVERNE,"949,000"
4,ARVERNE,"980,000"
4,ARVERNE,10
4,ARVERNE,"400,000"
4,ARVERNE,0
4,ARVERNE,0
4,ARVERNE,0
4,ARVERNE,"450,000"
4,ARVERNE,"330,000"
4,ARVERNE,"515,000"
4,ARVERNE,0
4,ARVERNE,"290,005"
4,ARVERNE,"605,000"
4,ARVERNE,"576,500"
4,ARVERNE,0
4,ARVERNE,0
4,ARVERNE,"650,000"
4,ARVERNE,1
4,ARVERNE,"669,000"
4,ARVERNE,"660,000"
4,ARVERNE,"732,122"
4,ARVERNE,0
4,ARVERNE,"403,908"
4,ARVERNE,"630,000"
4,ARVERNE,0
4,ARVERNE,0
4,ARVERNE,"631,000"
4,ARVERNE,"375,180"
4,ARVERNE,0
4,ARVERNE,0
4,ARVERNE,"515,000"
4,ARVERNE,"470,000"
