BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028,23,,A1,408 EAST 179TH STREET,,10457,1,0,1,"1,842","2,048",1901,1,A1,0,1/20/2021
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028,24,,A1,410 EAST 179TH STREET,,10457,1,0,1,"1,842","2,048",1901,1,A1,"600,000",1/15/2021
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3045,12,,A1,2052 BATHGATE AVENUE,,10457,1,0,1,"2,340","1,516",1910,1,A1,"580,000",7/22/2021
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,39,,A1,2075 BATHGATE AVENUE,,10457,1,0,1,"1,986","1,344",1899,1,A1,0,9/17/2021
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3048,28,,A1,540 E 182ND STREET,,10457,1,0,1,"1,209","1,048",1901,1,A1,0,10/13/2021
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053,108,,A9,2317 BASSFORD AVENUE,,10458,1,0,1,925,"1,188",1901,1,A9,"251,600",8/17/2021
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,135,,B1,492 CLAREMONT PARKWAY,,10457,2,0,2,"2,000","2,400",1993,1,B1,"655,000",4/9/2021
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,146,,B1,3809 3RD AVENUE,,10457,2,0,2,"2,000","2,400",1993,1,B1,"680,000",8/11/2021
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030,61,,B3,4467 PARK AVENUE,,10457,2,0,2,"1,556","1,494",1899,1,B3,"650,000",8/23/2021
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030,202,,B3,4465 PARK AVENUE,,10457,2,0,2,"1,569","1,497",1899,1,B3,0,4/28/2021
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030,203,,B3,4461 PARK AVE,,10457,2,0,2,"1,592","1,860",1899,1,B3,"710,000",5/3/2021
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,3,,B2,4386 PARK AVENUE,,10457,2,0,2,"1,144","2,889",1899,1,B2,"15,000",2/3/2021
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,4,,B2,4388 PARK AVENUE,,10457,2,0,2,"2,275","1,548",1899,1,B2,0,2/3/2021
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,44,,B1,444 EAST 186 STREET,,10458,2,0,2,"2,000","2,060",1901,1,B1,"385,000",2/16/2021
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,158,,B1,474 EAST 186 STREET,,10458,2,0,2,"2,000","2,400",1997,1,B1,"695,000",9/3/2021
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3040,16,,B2,464 EAST 187 STREET,,10458,2,0,2,"1,642","1,820",1910,1,B2,"150,000",4/20/2021
