BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,10,,A5,4724 AMBOY ROAD,,10312,1,0,1,"2,997",910,2002,1,A5,0,8/31/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5396,41,,A1,21 TALLMAN STREET,,10312,1,0,1,"9,968","3,940",1990,1,A1,0,3/19/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5397,30,,A1,5 EYLANDT STREET,,10312,1,0,1,"10,120","3,000",1984,1,A1,0,3/4/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,35,,A2,195 HAROLD AVENUE,,10312,1,0,1,"10,296","3,770",1984,1,A2,"1,170,000",7/16/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,6,,A1,118 ELMBANK STREET,,10312,1,0,1,"6,200","2,580",1975,1,A1,0,2/17/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,51,,A1,469 HAROLD AVENUE,,10312,1,0,1,"3,249","1,440",1997,1,A1,"820,000",7/1/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5426,21,,A1,1760 ARDEN AVENUE,,10312,1,0,1,"4,600","3,027",2008,1,A1,"1,085,000",1/21/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,14,,A5,97 EAGAN AVENUE,,10312,1,0,1,"1,845","1,854",1986,1,A5,"547,500",4/16/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,43,,A5,64 SEGUINE PLACE,,10312,1,0,1,"1,471","1,187",1986,1,A5,"415,000",7/1/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,46,,A5,58 SEGUINE PLACE,,10312,1,0,1,"2,243","1,373",1986,1,A5,"455,000",1/21/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,115,,A5,44 MAY PLACE,,10312,1,0,1,"2,475","2,495",1986,1,A5,0,12/11/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,119,,A5,34 MAY PLACE,,10312,1,0,1,"2,475","2,495",1986,1,A5,"670,000",4/26/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,145,,A5,60 SEGUINE PLACE,,10312,1,0,1,"1,471","1,172",1986,1,A5,0,12/30/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,145,,A5,60 SEGUINE PLACE,,10312,1,0,1,"1,471","1,172",1986,1,A5,"429,000",11/19/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,41,,A5,90 SEGUINE PLACE,,10312,1,0,1,"1,508","1,068",1986,1,A5,0,9/16/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,46,,A5,44 LUCY LOOP,,10312,1,0,1,"2,700","1,500",2000,1,A5,"410,670",11/10/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,46,,A5,44 LUCY LOOP,,10312,1,0,1,"2,700","1,500",2000,1,A5,"640,000",10/4/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,50,,A5,36 LUCY LOOP,,10312,1,0,1,"2,870","1,500",2000,1,A5,"45,000",1/29/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,59,,A5,91 LORRAINE AVENUE,,10312,1,0,1,"1,650","1,548",2005,1,A5,"530,000",12/30/2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,164,,A6,89 JEANETTE AVENUE,,10312,1,0,1,"4,000",816,1960,1,A6,"265,000",7/22/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,34,,A5,52 EAGAN AVENUE,,10312,1,0,1,"2,400","1,368",2000,1,A5,"650,000",7/29/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,57,,A1,96 EAGAN AVE,,10312,1,0,1,"10,000","2,755",1955,1,A1,"940,000",1/15/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,33,,A5,10 EAGAN AVENUE,,10312,1,0,1,"2,333","1,145",1994,1,A5,"477,000",1/11/2021
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,40,,A5,30 EAGAN AVENUE,,10312,1,0,1,"1,333","1,515",1992,1,A5,"495,000",4/12/2021
