NEIGHBORHOOD,SALE PRICE
ALPHABET CITY,162
CHELSEA,2307
CHINATOWN,122
CIVIC CENTER,983
CLINTON,3969
EAST VILLAGE,628
FASHION,2222
FINANCIAL,1354
FLATIRON,1006
GRAMERCY,1116
GREENWICH VILLAGE-CENTRAL,1881
GREENWICH VILLAGE-WEST,2455
HARLEM-CENTRAL,1290
HARLEM-EAST,129
HARLEM-UPPER,95
HARLEM-WEST,89
INWOOD,186
JAVITS CENTER,1347
KIPS BAY,500
LITTLE ITALY,192
LOWER EAST SIDE,1018
MANHATTAN VALLEY,300
MIDTOWN CBD,707
MIDTOWN EAST,1740
MIDTOWN WEST,4435
MORNINGSIDE HEIGHTS,154
MURRAY HILL,1022
ROOSEVELT ISLAND,50
SOHO,2267
SOUTHBRIDGE,488
TRIBECA,1751
UPPER EAST SIDE (59-79),4404
UPPER EAST SIDE (79-96),3971
UPPER EAST SIDE (96-110),108
UPPER WEST SIDE (59-79),3011
UPPER WEST SIDE (79-96),1967
UPPER WEST SIDE (96-116),517
WASHINGTON HEIGHTS LOWER,117
WASHINGTON HEIGHTS UPPER,266
