NEIGHBORHOOD,SALE PRICE,YEAR
BATHGATE,29,2021
BAYCHESTER,205,2021
BEDFORD PARK/NORWOOD,580,2021
BELMONT,69,2021
BRONX PARK,2,2021
BRONXDALE,293,2021
CASTLE HILL/UNIONPORT,232,2021
CITY ISLAND,36,2021
CITY ISLAND-PELHAM STRIP,2,2021
CO-OP CITY,1,2021
COUNTRY CLUB,111,2021
CROTONA PARK,18,2021
EAST RIVER,1,2021
EAST TREMONT,46,2021
FIELDSTON,18,2021
FORDHAM,99,2021
HIGHBRIDGE/MORRIS HEIGHTS,107,2021
HUNTS POINT,174,2021
KINGSBRIDGE HTS/UNIV HTS,357,2021
KINGSBRIDGE/JEROME PARK,184,2021
MELROSE/CONCOURSE,473,2021
MORRIS PARK/VAN NEST,114,2021
MORRISANIA/LONGWOOD,1514,2021
MOTT HAVEN/PORT MORRIS,100,2021
MOUNT HOPE/MOUNT EDEN,16,2021
PARKCHESTER,117,2021
PELHAM GARDENS,24,2021
PELHAM PARKWAY NORTH,99,2021
PELHAM PARKWAY SOUTH,91,2021
RIVERDALE,2658,2021
SCHUYLERVILLE/PELHAM BAY,151,2021
SOUNDVIEW,170,2021
THROGS NECK,261,2021
VAN CORTLANDT PARK,2,2021
WAKEFIELD,118,2021
BATHGATE,100,2020
BAYCHESTER,169,2020
BEDFORD PARK/NORWOOD,541,2020
BELMONT,69,2020
BRONX PARK,5,2020
BRONXDALE,539,2020
CASTLE HILL/UNIONPORT,39,2020
CITY ISLAND,56,2020
CITY ISLAND-PELHAM STRIP,4,2020
CO-OP CITY,2,2020
COUNTRY CLUB,78,2020
CROTONA PARK,22,2020
EAST TREMONT,77,2020
FIELDSTON,39,2020
FORDHAM,86,2020
HIGHBRIDGE/MORRIS HEIGHTS,195,2020
HUNTS POINT,165,2020
KINGSBRIDGE HTS/UNIV HTS,309,2020
KINGSBRIDGE/JEROME PARK,92,2020
MELROSE/CONCOURSE,424,2020
MORRIS PARK/VAN NEST,90,2020
MORRISANIA/LONGWOOD,494,2020
MOTT HAVEN/PORT MORRIS,1068,2020
MOUNT HOPE/MOUNT EDEN,75,2020
PARKCHESTER,78,2020
PELHAM GARDENS,30,2020
PELHAM PARKWAY NORTH,56,2020
PELHAM PARKWAY SOUTH,59,2020
RIVERDALE,2647,2020
SCHUYLERVILLE/PELHAM BAY,92,2020
SOUNDVIEW,198,2020
THROGS NECK,141,2020
VAN CORTLANDT PARK,2,2020
WAKEFIELD,139,2020
WESTCHESTER,95,2020
WILLIAMSBRIDGE,166,2020
WOODLAWN,28,2020
BATHGATE,64,2019
BAYCHESTER,191,2019
BEDFORD PARK/NORWOOD,274,2019
BELMONT,95,2019
BRONX PARK,3,2019
BRONXDALE,139,2019
CASTLE HILL/UNIONPORT,203,2019
CITY ISLAND,55,2019
CITY ISLAND-PELHAM STRIP,0,2019
CO-OP CITY,0,2019
COUNTRY CLUB,76,2019
CROTONA PARK,40,2019
EAST TREMONT,83,2019
FIELDSTON,35,2019
FORDHAM,77,2019
HIGHBRIDGE/MORRIS HEIGHTS,263,2019
HUNTS POINT,429,2019
KINGSBRIDGE HTS/UNIV HTS,141,2019
KINGSBRIDGE/JEROME PARK,79,2019
MELROSE/CONCOURSE,218,2019
MORRIS PARK/VAN NEST,203,2019
MORRISANIA/LONGWOOD,530,2019
MOTT HAVEN/PORT MORRIS,593,2019
MOUNT HOPE/MOUNT EDEN,141,2019
PARKCHESTER,119,2019
PELHAM GARDENS,41,2019
PELHAM PARKWAY NORTH,56,2019
PELHAM PARKWAY SOUTH,44,2019
RIVERDALE,1096,2019
SCHUYLERVILLE/PELHAM BAY,156,2019
SOUNDVIEW,250,2019
THROGS NECK,157,2019
VAN CORTLANDT PARK,2,2019
WAKEFIELD,159,2019
WESTCHESTER,101,2019
WILLIAMSBRIDGE,201,2019
WOODLAWN,29,2019
BATHGATE,75,2018
BAYCHESTER,164,2018
BEDFORD PARK/NORWOOD,274,2018
BELMONT,94,2018
BRONX PARK,5,2018
BRONXDALE,150,2018
CASTLE HILL/UNIONPORT,83,2018
CITY ISLAND,39,2018
CO-OP CITY,16,2018
COUNTRY CLUB,84,2018
CROTONA PARK,42,2018
EAST TREMONT,184,2018
FIELDSTON,35,2018
FORDHAM,143,2018
HIGHBRIDGE/MORRIS HEIGHTS,150,2018
HUNTS POINT,69,2018
KINGSBRIDGE HTS/UNIV HTS,113,2018
KINGSBRIDGE/JEROME PARK,105,2018
MELROSE/CONCOURSE,249,2018
MORRIS PARK/VAN NEST,101,2018
MORRISANIA/LONGWOOD,245,2018
MOTT HAVEN/PORT MORRIS,439,2018
MOUNT HOPE/MOUNT EDEN,319,2018
PARKCHESTER,129,2018
PELHAM GARDENS,73,2018
PELHAM PARKWAY NORTH,52,2018
PELHAM PARKWAY SOUTH,111,2018
RIVERDALE,306,2018
SCHUYLERVILLE/PELHAM BAY,122,2018
SOUNDVIEW,199,2018
THROGS NECK,148,2018
VAN CORTLANDT PARK,1,2018
WAKEFIELD,105,2018
WESTCHESTER,196,2018
WILLIAMSBRIDGE,221,2018
WOODLAWN,23,2018
BATHGATE,48,2017
BAYCHESTER,175,2017
BEDFORD PARK/NORWOOD,126,2017
BELMONT,111,2017
BRONXDALE,135,2017
CASTLE HILL/UNIONPORT,119,2017
CITY ISLAND,41,2017
CO-OP CITY,6,2017
COUNTRY CLUB,71,2017
CROTONA PARK,31,2017
EAST RIVER,11,2017
EAST TREMONT,127,2017
FIELDSTON,39,2017
FORDHAM,151,2017
HIGHBRIDGE/MORRIS HEIGHTS,205,2017
HUNTS POINT,122,2017
