NEIGHBORHOOD,SALE PRICE
BATHGATE,28
BAYCHESTER,204
BEDFORD PARK/NORWOOD,579
BELMONT,68
BRONX PARK,1
BRONXDALE,292
CASTLE HILL/UNIONPORT,231
CITY ISLAND,35
CITY ISLAND-PELHAM STRIP,2
CO-OP CITY,1
COUNTRY CLUB,110
CROTONA PARK,18
EAST RIVER,0
EAST TREMONT,45
FIELDSTON,17
FORDHAM,98
HIGHBRIDGE/MORRIS HEIGHTS,106
HUNTS POINT,174
KINGSBRIDGE HTS/UNIV HTS,356
KINGSBRIDGE/JEROME PARK,184
MELROSE/CONCOURSE,472
MORRIS PARK/VAN NEST,114
MORRISANIA/LONGWOOD,1513
MOTT HAVEN/PORT MORRIS,100
MOUNT HOPE/MOUNT EDEN,15
PARKCHESTER,116
PELHAM GARDENS,23
PELHAM PARKWAY NORTH,98
PELHAM PARKWAY SOUTH,91
RIVERDALE,4657
SCHUYLERVILLE/PELHAM BAY,150
SOUNDVIEW,169
THROGS NECK,260
VAN CORTLANDT PARK,2
WAKEFIELD,118
