NEIGHBORHOOD,SALE PRICE,YEAR
BATH BEACH,191,2021
BAY RIDGE,723,2021
BEDFORD STUYVESANT,1706,2021
BENSONHURST,443,2021
BERGEN BEACH,141,2021
BOERUM HILL,445,2021
BOROUGH PARK,1020,2021
BRIGHTON BEACH,182,2021
BROOKLYN HEIGHTS,987,2021
BROWNSVILLE,158,2021
BUSH TERMINAL,66,2021
BUSHWICK,693,2021
CANARSIE,314,2021
CARROLL GARDENS,456,2021
CLINTON HILL,454,2021
COBBLE HILL,330,2021
COBBLE HILL-WEST,153,2021
CONEY ISLAND,78,2021
CROWN HEIGHTS,1157,2021
CYPRESS HILLS,169,2021
DOWNTOWN-FULTON FERRY,424,2021
DOWNTOWN-FULTON MALL,1063,2021
DOWNTOWN-METROTECH,246,2021
DYKER HEIGHTS,282,2021
EAST NEW YORK,395,2021
FLATBUSH-CENTRAL,585,2021
FLATBUSH-EAST,312,2021
FLATBUSH-LEFFERTS GARDEN,158,2021
FLATBUSH-NORTH,142,2021
FLATLANDS,94,2021
FORT GREENE,283,2021
GERRITSEN BEACH,82,2021
GOWANUS,299,2021
GRAVESEND,443,2021
GREENPOINT,749,2021
KENSINGTON,121,2021
MADISON,292,2021
MANHATTAN BEACH,71,2021
MARINE PARK,237,2021
MIDWOOD,402,2021
MILL BASIN,142,2021
NAVY YARD,17,2021
OCEAN HILL,188,2021
OCEAN PARKWAY-NORTH,754,2021
OCEAN PARKWAY-SOUTH,344,2021
OLD MILL BASIN,103,2021
PARK SLOPE,1462,2021
PARK SLOPE SOUTH,795,2021
PROSPECT HEIGHTS,542,2021
RED HOOK,515,2021
SEAGATE,26,2021
SHEEPSHEAD BAY,480,2021
SPRING CREEK,17,2021
SUNSET PARK,545,2021
WILLIAMSBURG-CENTRAL,70,2021
WILLIAMSBURG-EAST,696,2021
WILLIAMSBURG-NORTH,876,2021
WILLIAMSBURG-SOUTH,282,2021
WINDSOR TERRACE,209,2021
WYCKOFF HEIGHTS,128,2021
BATH BEACH,165,2020
BAY RIDGE,523,2020
BEDFORD STUYVESANT,1086,2020
BENSONHURST,237,2020
BERGEN BEACH,84,2020
BOERUM HILL,195,2020
BOROUGH PARK,726,2020
BRIGHTON BEACH,131,2020
BROOKLYN HEIGHTS,509,2020
BROWNSVILLE,64,2020
BUSH TERMINAL,315,2020
BUSHWICK,444,2020
CANARSIE,267,2020
CARROLL GARDENS,232,2020
CLINTON HILL,576,2020
COBBLE HILL,170,2020
COBBLE HILL-WEST,60,2020
CONEY ISLAND,67,2020
CROWN HEIGHTS,487,2020
CYPRESS HILLS,113,2020
DOWNTOWN-FULTON FERRY,236,2020
DOWNTOWN-FULTON MALL,242,2020
DOWNTOWN-METROTECH,86,2020
DYKER HEIGHTS,208,2020
EAST NEW YORK,581,2020
FLATBUSH-CENTRAL,464,2020
FLATBUSH-EAST,316,2020
FLATBUSH-LEFFERTS GARDEN,141,2020
FLATBUSH-NORTH,496,2020
FLATLANDS,54,2020
FORT GREENE,204,2020
GERRITSEN BEACH,52,2020
GOWANUS,310,2020
GRAVESEND,510,2020
GREENPOINT,596,2020
KENSINGTON,58,2020
MADISON,279,2020
MANHATTAN BEACH,54,2020
MARINE PARK,161,2020
MIDWOOD,350,2020
MILL BASIN,59,2020
NAVY YARD,6,2020
OCEAN HILL,229,2020
OCEAN PARKWAY-NORTH,325,2020
OCEAN PARKWAY-SOUTH,164,2020
OLD MILL BASIN,88,2020
PARK SLOPE,884,2020
PARK SLOPE SOUTH,191,2020
PROSPECT HEIGHTS,326,2020
RED HOOK,261,2020
SEAGATE,21,2020
SHEEPSHEAD BAY,276,2020
SPRING CREEK,21,2020
SUNSET PARK,306,2020
WILLIAMSBURG-CENTRAL,92,2020
WILLIAMSBURG-EAST,551,2020
WILLIAMSBURG-NORTH,747,2020
WILLIAMSBURG-SOUTH,265,2020
WINDSOR TERRACE,134,2020
WYCKOFF HEIGHTS,153,2020
BATH BEACH,200,2019
BAY RIDGE,546,2019
BEDFORD STUYVESANT,1582,2019
BENSONHURST,345,2019
BERGEN BEACH,361,2019
BOERUM HILL,205,2019
BOROUGH PARK,719,2019
BRIGHTON BEACH,154,2019
BROOKLYN HEIGHTS,491,2019
BROWNSVILLE,343,2019
BUSH TERMINAL,434,2019
BUSHWICK,543,2019
CANARSIE,1449,2019
CARROLL GARDENS,372,2019
CLINTON HILL,426,2019
COBBLE HILL,314,2019
COBBLE HILL-WEST,117,2019
CONEY ISLAND,114,2019
CROWN HEIGHTS,840,2019
CYPRESS HILLS,154,2019
DOWNTOWN-FULTON FERRY,205,2019
DOWNTOWN-FULTON MALL,250,2019
DOWNTOWN-METROTECH,526,2019
DYKER HEIGHTS,189,2019
EAST NEW YORK,497,2019
FLATBUSH-CENTRAL,650,2019
FLATBUSH-EAST,409,2019
FLATBUSH-LEFFERTS GARDEN,132,2019
FLATBUSH-NORTH,209,2019
FLATLANDS,88,2019
FORT GREENE,444,2019
GERRITSEN BEACH,54,2019
GOWANUS,2204,2019
GRAVESEND,458,2019
GREENPOINT,695,2019
KENSINGTON,90,2019
MADISON,225,2019
MANHATTAN BEACH,68,2019
MARINE PARK,148,2019
MIDWOOD,307,2019
MILL BASIN,67,2019
NAVY YARD,202,2019
OCEAN HILL,337,2019
OCEAN PARKWAY-NORTH,472,2019
OCEAN PARKWAY-SOUTH,216,2019
OLD MILL BASIN,105,2019
PARK SLOPE,868,2019
PARK SLOPE SOUTH,169,2019
PROSPECT HEIGHTS,311,2019
RED HOOK,253,2019
SEAGATE,22,2019
SHEEPSHEAD BAY,399,2019
SPRING CREEK,16,2019
SUNSET PARK,436,2019
WILLIAMSBURG-CENTRAL,113,2019
WILLIAMSBURG-EAST,853,2019
WILLIAMSBURG-NORTH,1184,2019
WILLIAMSBURG-SOUTH,328,2019
WINDSOR TERRACE,136,2019
WYCKOFF HEIGHTS,106,2019
BATH BEACH,181,2018
BAY RIDGE,713,2018
BEDFORD STUYVESANT,1052,2018
BENSONHURST,319,2018
BERGEN BEACH,84,2018
BOERUM HILL,356,2018
BOROUGH PARK,836,2018
BRIGHTON BEACH,152,2018
BROOKLYN HEIGHTS,702,2018
BROWNSVILLE,82,2018
BUSH TERMINAL,33,2018
BUSHWICK,512,2018
CANARSIE,290,2018
CARROLL GARDENS,264,2018
CLINTON HILL,309,2018
COBBLE HILL,237,2018
COBBLE HILL-WEST,71,2018
CONEY ISLAND,210,2018
CROWN HEIGHTS,808,2018
CYPRESS HILLS,150,2018
DOWNTOWN-FULTON FERRY,279,2018
DOWNTOWN-FULTON MALL,233,2018
DOWNTOWN-METROTECH,357,2018
DYKER HEIGHTS,198,2018
EAST NEW YORK,457,2018
FLATBUSH-CENTRAL,568,2018
FLATBUSH-EAST,409,2018
FLATBUSH-LEFFERTS GARDEN,142,2018
