NEIGHBORHOOD,SALE PRICE
BATH BEACH,191
BAY RIDGE,723
BEDFORD STUYVESANT,1706
BENSONHURST,443
BERGEN BEACH,141
BOERUM HILL,445
BOROUGH PARK,1020
BRIGHTON BEACH,182
BROOKLYN HEIGHTS,987
BROWNSVILLE,158
BUSH TERMINAL,66
BUSHWICK,693
CANARSIE,314
CARROLL GARDENS,456
CLINTON HILL,454
COBBLE HILL,330
COBBLE HILL-WEST,153
CONEY ISLAND,78
CROWN HEIGHTS,1157
CYPRESS HILLS,169
DOWNTOWN-FULTON FERRY,424
DOWNTOWN-FULTON MALL,1063
DOWNTOWN-METROTECH,246
DYKER HEIGHTS,282
EAST NEW YORK,395
FLATBUSH-CENTRAL,585
FLATBUSH-EAST,312
FLATBUSH-LEFFERTS GARDEN,158
FLATBUSH-NORTH,142
FLATLANDS,94
FORT GREENE,283
GERRITSEN BEACH,82
GOWANUS,299
GRAVESEND,443
GREENPOINT,749
KENSINGTON,121
MADISON,292
MANHATTAN BEACH,71
MARINE PARK,237
MIDWOOD,402
MILL BASIN,142
NAVY YARD,17
OCEAN HILL,188
OCEAN PARKWAY-NORTH,754
OCEAN PARKWAY-SOUTH,344
OLD MILL BASIN,103
PARK SLOPE,1462
PARK SLOPE SOUTH,795
PROSPECT HEIGHTS,542
RED HOOK,515
SEAGATE,26
SHEEPSHEAD BAY,480
SPRING CREEK,17
SUNSET PARK,545
WILLIAMSBURG-CENTRAL,70
WILLIAMSBURG-EAST,696
WILLIAMSBURG-NORTH,876
WILLIAMSBURG-SOUTH,282
WINDSOR TERRACE,209
WYCKOFF HEIGHTS,128
