NEIGHBORHOOD,SALE PRICE,YEAR
ALPHABET CITY,498,2016
CHELSEA,2719,2016
CHINATOWN,325,2016
CIVIC CENTER,1264,2016
CLINTON,715,2016
EAST VILLAGE,409,2016
FASHION,2831,2016
FINANCIAL,2215,2016
FLATIRON,1732,2016
GRAMERCY,875,2016
GREENWICH VILLAGE-CENTRAL,2071,2016
GREENWICH VILLAGE-WEST,2567,2016
HARLEM-CENTRAL,1748,2016
HARLEM-EAST,711,2016
HARLEM-UPPER,229,2016
HARLEM-WEST,205,2016
INWOOD,211,2016
JAVITS CENTER,835,2016
KIPS BAY,1164,2016
LITTLE ITALY,290,2016
LOWER EAST SIDE,560,2016
MANHATTAN VALLEY,278,2016
MANHATTAN-UNKNOWN,4,2016
MIDTOWN CBD,5891,2016
MIDTOWN EAST,2543,2016
MIDTOWN WEST,6663,2016
MORNINGSIDE HEIGHTS,176,2016
MURRAY HILL,1300,2016
SOHO,1927,2016
SOUTHBRIDGE,366,2016
TRIBECA,3611,2016
UPPER EAST SIDE (59-79),4050,2016
UPPER EAST SIDE (79-96),3135,2016
UPPER EAST SIDE (96-110),127,2016
UPPER WEST SIDE (59-79),2919,2016
UPPER WEST SIDE (79-96),1730,2016
UPPER WEST SIDE (96-116),755,2016
WASHINGTON HEIGHTS LOWER,518,2016
WASHINGTON HEIGHTS UPPER,545,2016
ALPHABET CITY,221,2017
CHELSEA,2483,2017
CHINATOWN,153,2017
CIVIC CENTER,1920,2017
CLINTON,657,2017
EAST VILLAGE,411,2017
FASHION,615,2017
FINANCIAL,2841,2017
FLATIRON,1955,2017
GRAMERCY,705,2017
GREENWICH VILLAGE-CENTRAL,1215,2017
GREENWICH VILLAGE-WEST,2321,2017
HARLEM-CENTRAL,1013,2017
HARLEM-EAST,278,2017
HARLEM-UPPER,217,2017
HARLEM-WEST,89,2017
INWOOD,296,2017
JAVITS CENTER,157,2017
KIPS BAY,608,2017
LITTLE ITALY,135,2017
LOWER EAST SIDE,849,2017
MANHATTAN VALLEY,426,2017
MIDTOWN CBD,3668,2017
MIDTOWN EAST,2558,2017
MIDTOWN WEST,3095,2017
MORNINGSIDE HEIGHTS,42,2017
MURRAY HILL,1223,2017
ROOSEVELT ISLAND,45,2017
SOHO,1243,2017
SOUTHBRIDGE,246,2017
TRIBECA,1960,2017
UPPER EAST SIDE (59-79),3814,2017
UPPER EAST SIDE (79-96),3403,2017
UPPER EAST SIDE (96-110),84,2017
UPPER WEST SIDE (59-79),3319,2017
UPPER WEST SIDE (79-96),1616,2017
UPPER WEST SIDE (96-116),532,2017
WASHINGTON HEIGHTS LOWER,288,2017
WASHINGTON HEIGHTS UPPER,382,2017
ALPHABET CITY,414,2018
CHELSEA,5111,2018
CHINATOWN,314,2018
CIVIC CENTER,562,2018
CLINTON,741,2018
EAST VILLAGE,558,2018
FASHION,1642,2018
FINANCIAL,622,2018
FLATIRON,2185,2018
GRAMERCY,749,2018
GREENWICH VILLAGE-CENTRAL,1276,2018
GREENWICH VILLAGE-WEST,1895,2018
HARLEM-CENTRAL,1216,2018
HARLEM-EAST,382,2018
HARLEM-UPPER,310,2018
HARLEM-WEST,129,2018
INWOOD,93,2018
JAVITS CENTER,200,2018
KIPS BAY,347,2018
LITTLE ITALY,274,2018
LOWER EAST SIDE,980,2018
MANHATTAN VALLEY,393,2018
MIDTOWN CBD,2505,2018
MIDTOWN EAST,1884,2018
MIDTOWN WEST,6259,2018
MORNINGSIDE HEIGHTS,102,2018
MURRAY HILL,1070,2018
ROOSEVELT ISLAND,24,2018
SOHO,1806,2018
SOUTHBRIDGE,314,2018
TRIBECA,2315,2018
UPPER EAST SIDE (59-79),4295,2018
UPPER EAST SIDE (79-96),3126,2018
UPPER EAST SIDE (96-110),144,2018
UPPER WEST SIDE (59-79),4400,2018
UPPER WEST SIDE (79-96),1971,2018
UPPER WEST SIDE (96-116),1350,2018
WASHINGTON HEIGHTS LOWER,360,2018
WASHINGTON HEIGHTS UPPER,245,2018
ALPHABET CITY,137,2019
CHELSEA,2811,2019
CHINATOWN,333,2019
CIVIC CENTER,1050,2019
CLINTON,330,2019
EAST VILLAGE,469,2019
FASHION,2497,2019
FINANCIAL,9246,2019
FLATIRON,1269,2019
GRAMERCY,1462,2019
GREENWICH VILLAGE-CENTRAL,1606,2019
GREENWICH VILLAGE-WEST,1693,2019
HARLEM-CENTRAL,1887,2019
HARLEM-EAST,1522,2019
HARLEM-UPPER,146,2019
HARLEM-WEST,87,2019
INWOOD,73,2019
JAVITS CENTER,3211,2019
KIPS BAY,339,2019
LITTLE ITALY,285,2019
LOWER EAST SIDE,1359,2019
MANHATTAN VALLEY,152,2019
MIDTOWN CBD,4946,2019
MIDTOWN EAST,3401,2019
MIDTOWN WEST,4820,2019
MORNINGSIDE HEIGHTS,94,2019
MURRAY HILL,793,2019
ROOSEVELT ISLAND,32,2019
SOHO,1523,2019
SOUTHBRIDGE,134,2019
TRIBECA,2437,2019
UPPER EAST SIDE (59-79),4484,2019
UPPER EAST SIDE (79-96),3190,2019
UPPER EAST SIDE (96-110),70,2019
UPPER WEST SIDE (59-79),2635,2019
UPPER WEST SIDE (79-96),1907,2019
UPPER WEST SIDE (96-116),575,2019
WASHINGTON HEIGHTS LOWER,174,2019
WASHINGTON HEIGHTS UPPER,832,2019
ALPHABET CITY,127,2020
CHELSEA,1022,2020
CHINATOWN,110,2020
CIVIC CENTER,529,2020
CLINTON,375,2020
EAST VILLAGE,405,2020
FASHION,2447,2020
FINANCIAL,504,2020
FLATIRON,631,2020
GRAMERCY,454,2020
GREENWICH VILLAGE-CENTRAL,7222,2020
GREENWICH VILLAGE-WEST,1840,2020
HARLEM-CENTRAL,729,2020
HARLEM-EAST,163,2020
HARLEM-UPPER,139,2020
HARLEM-WEST,29,2020
INWOOD,90,2020
JAVITS CENTER,1007,2020
KIPS BAY,340,2020
LITTLE ITALY,135,2020
LOWER EAST SIDE,787,2020
MANHATTAN VALLEY,278,2020
MIDTOWN CBD,3819,2020
MIDTOWN EAST,1323,2020
MIDTOWN WEST,6120,2020
MORNINGSIDE HEIGHTS,155,2020
MURRAY HILL,719,2020
ROOSEVELT ISLAND,18,2020
SOHO,1092,2020
SOUTHBRIDGE,207,2020
TRIBECA,961,2020
UPPER EAST SIDE (59-79),2489,2020
UPPER EAST SIDE (79-96),1851,2020
UPPER EAST SIDE (96-110),46,2020
UPPER WEST SIDE (59-79),2115,2020
UPPER WEST SIDE (79-96),1002,2020
UPPER WEST SIDE (96-116),802,2020
WASHINGTON HEIGHTS LOWER,47,2020
WASHINGTON HEIGHTS UPPER,189,2020
ALPHABET CITY,162,2021
CHELSEA,2307,2021
CHINATOWN,122,2021
CIVIC CENTER,983,2021
CLINTON,3969,2021
EAST VILLAGE,628,2021
FASHION,2222,2021
FINANCIAL,1354,2021
FLATIRON,1006,2021
GRAMERCY,1116,2021
GREENWICH VILLAGE-CENTRAL,1881,2021
GREENWICH VILLAGE-WEST,2455,2021
HARLEM-CENTRAL,1290,2021
HARLEM-EAST,129,2021
HARLEM-UPPER,95,2021
HARLEM-WEST,89,2021
INWOOD,186,2021
JAVITS CENTER,1347,2021
KIPS BAY,500,2021
LITTLE ITALY,192,2021
LOWER EAST SIDE,1018,2021
MANHATTAN VALLEY,300,2021
MIDTOWN CBD,707,2021
MIDTOWN EAST,1740,2021
MIDTOWN WEST,4435,2021
MORNINGSIDE HEIGHTS,154,2021
MURRAY HILL,1022,2021
ROOSEVELT ISLAND,50,2021
SOHO,2267,2021
SOUTHBRIDGE,488,2021
TRIBECA,1751,2021
UPPER EAST SIDE (59-79),4404,2021
UPPER EAST SIDE (79-96),3971,2021
UPPER EAST SIDE (96-110),108,2021
UPPER WEST SIDE (59-79),3011,2021
UPPER WEST SIDE (79-96),1967,2021
UPPER WEST SIDE (96-116),517,2021
WASHINGTON HEIGHTS LOWER,117,2021
WASHINGTON HEIGHTS UPPER,266,2021
