NEIGHBORHOOD,SALE PRICE,YEAR
AIRPORT LA GUARDIA,3,2021
ARVERNE,115,2021
ASTORIA,1583,2021
BAYSIDE,734,2021
BEECHHURST,108,2021
BELLE HARBOR,81,2021
BELLEROSE,126,2021
BREEZY POINT,52,2021
BRIARWOOD,64,2021
BROAD CHANNEL,15,2021
CAMBRIA HEIGHTS,61,2021
COLLEGE POINT,469,2021
CORONA,270,2021
DOUGLASTON,164,2021
EAST ELMHURST,218,2021
ELMHURST,380,2021
FAR ROCKAWAY,182,2021
FLORAL PARK,102,2021
FLUSHING MEADOW PARK,7,2021
FLUSHING-NORTH,2596,2021
FLUSHING-SOUTH,433,2021
FOREST HILLS,556,2021
FRESH MEADOWS,102,2021
GLEN OAKS,122,2021
GLENDALE,232,2021
HAMMELS,27,2021
HILLCREST,45,2021
HOLLIS,282,2021
HOLLIS HILLS,52,2021
HOLLISWOOD,62,2021
HOWARD BEACH,229,2021
JACKSON HEIGHTS,527,2021
JAMAICA,250,2021
JAMAICA BAY,8,2021
JAMAICA ESTATES,96,2021
JAMAICA HILLS,54,2021
KEW GARDENS,134,2021
LAURELTON,132,2021
LITTLE NECK,147,2021
LONG ISLAND CITY,1772,2021
MASPETH,537,2021
MIDDLE VILLAGE,341,2021
NEPONSIT,29,2021
OAKLAND GARDENS,178,2021
OZONE PARK,278,2021
QUEENS VILLAGE,297,2021
REGO PARK,289,2021
RICHMOND HILL,328,2021
RIDGEWOOD,436,2021
ROCKAWAY PARK,106,2021
ROSEDALE,432,2021
SO. JAMAICA-BAISLEY PARK,231,2021
SOUTH JAMAICA,193,2021
SOUTH OZONE PARK,196,2021
SPRINGFIELD GARDENS,299,2021
ST. ALBANS,244,2021
SUNNYSIDE,148,2021
WHITESTONE,305,2021
WOODHAVEN,186,2021
WOODSIDE,302,2021
AIRPORT JFK,4,2020
AIRPORT LA GUARDIA,1,2020
ARVERNE,264,2020
ASTORIA,695,2020
BAYSIDE,457,2020
BEECHHURST,66,2020
BELLE HARBOR,60,2020
BELLEROSE,72,2020
BREEZY POINT,38,2020
BRIARWOOD,84,2020
BROAD CHANNEL,14,2020
CAMBRIA HEIGHTS,51,2020
COLLEGE POINT,383,2020
CORONA,207,2020
DOUGLASTON,118,2020
EAST ELMHURST,96,2020
ELMHURST,1859,2020
FAR ROCKAWAY,157,2020
FLORAL PARK,70,2020
FLUSHING MEADOW PARK,3,2020
FLUSHING-NORTH,1717,2020
FLUSHING-SOUTH,254,2020
FOREST HILLS,440,2020
FRESH MEADOWS,62,2020
GLEN OAKS,87,2020
GLENDALE,503,2020
HAMMELS,18,2020
HILLCREST,34,2020
HOLLIS,153,2020
HOLLIS HILLS,29,2020
HOLLISWOOD,41,2020
HOWARD BEACH,149,2020
JACKSON HEIGHTS,348,2020
JAMAICA,69,2020
JAMAICA BAY,4,2020
JAMAICA ESTATES,66,2020
JAMAICA HILLS,49,2020
KEW GARDENS,116,2020
LAURELTON,120,2020
LITTLE NECK,113,2020
LONG ISLAND CITY,2056,2020
MASPETH,463,2020
MIDDLE VILLAGE,335,2020
NEPONSIT,16,2020
OAKLAND GARDENS,112,2020
OZONE PARK,177,2020
QUEENS VILLAGE,232,2020
REGO PARK,313,2020
RICHMOND HILL,281,2020
RIDGEWOOD,162,2020
ROCKAWAY PARK,55,2020
ROSEDALE,152,2020
