NEIGHBORHOOD,SALE PRICE
AIRPORT LA GUARDIA,3
ARVERNE,115
ASTORIA,1583
BAYSIDE,734
BEECHHURST,108          
BELLE HARBOR,81
BELLEROSE,126
BREEZY POINT,52
BRIARWOOD,64
BROAD CHANNEL,15
CAMBRIA HEIGHTS,61
COLLEGE POINT,469
CORONA,270
DOUGLASTON,164
EAST ELMHURST,218
ELMHURST,380
FAR ROCKAWAY,182
FLORAL PARK,102
FLUSHING MEADOW PARK,7
FLUSHING-NORTH,3096
FLUSHING-SOUTH,433
FOREST HILLS,556
FRESH MEADOWS,102
GLEN OAKS,122
GLENDALE,232
HAMMELS,27
HILLCREST,45
HOLLIS,282
HOLLIS HILLS,52
HOLLISWOOD,62
HOWARD BEACH,229
JACKSON HEIGHTS,527
JAMAICA,250
JAMAICA BAY,8
JAMAICA ESTATES,96
JAMAICA HILLS,54
KEW GARDENS,134
LAURELTON,132
LITTLE NECK,147
LONG ISLAND CITY,1772
MASPETH,537
MIDDLE VILLAGE,341
NEPONSIT,29
OAKLAND GARDENS,178
OZONE PARK,278
QUEENS VILLAGE,297
REGO PARK,289
RICHMOND HILL,328
RIDGEWOOD,436
ROCKAWAY PARK,106
ROSEDALE,432
SO. JAMAICA-BAISLEY PARK,231
SOUTH JAMAICA,193
SOUTH OZONE PARK,196
SPRINGFIELD GARDENS,299
ST. ALBANS,244
SUNNYSIDE,148
WHITESTONE,305
WOODHAVEN,186
WOODSIDE,302
