NEIGHBORHOOD,SALE PRICE,YEAR
ANNADALE,103,2021
ARDEN HEIGHTS,86,2021
ARROCHAR,16,2021
ARROCHAR-SHORE ACRES,11,2021
BLOOMFIELD,181,2021
BULLS HEAD,115,2021
CASTLETON CORNERS,50,2021
CLOVE LAKES,47,2021
CONCORD,34,2021
CONCORD-FOX HILLS,57,2021
DONGAN HILLS,35,2021
DONGAN HILLS-COLONY,23,2021
DONGAN HILLS-OLD TOWN,1,2021
ELTINGVILLE,109,2021
EMERSON HILL,13,2021
FRESH KILLS,0,2021
GRANT CITY,47,2021
GRASMERE,38,2021
GREAT KILLS,257,2021
GREAT KILLS-BAY TERRACE,21,2021
GRYMES HILL,20,2021
HUGUENOT,67,2021
LIVINGSTON,10,2021
MANOR HEIGHTS,54,2021
MARINERS HARBOR,76,2021
MIDLAND BEACH,97,2021
NEW BRIGHTON,54,2021
NEW BRIGHTON-ST. GEORGE,14,2021
NEW DORP,64,2021
NEW DORP-BEACH,34,2021
NEW DORP-HEIGHTS,45,2021
NEW SPRINGVILLE,148,2021
OAKWOOD,16,2021
OAKWOOD-BEACH,29,2021
PLEASANT PLAINS,29,2021
PORT IVORY,17,2021
PORT RICHMOND,62,2021
PRINCES BAY,75,2021
RICHMONDTOWN,39,2021
RICHMONDTOWN-LIGHTHS HILL,9,2021
ROSEBANK,75,2021
ROSSVILLE,60,2021
ROSSVILLE-CHARLESTON,38,2021
ROSSVILLE-PORT MOBIL,27,2021
ROSSVILLE-RICHMOND VALLEY,9,2021
SILVER LAKE,27,2021
SOUTH BEACH,77,2021
STAPLETON,33,2021
STAPLETON-CLIFTON,28,2021
SUNNYSIDE,21,2021
TODT HILL,48,2021
TOMPKINSVILLE,13,2021
TOTTENVILLE,125,2021
TRAVIS,45,2021
WEST NEW BRIGHTON,99,2021
WESTERLEIGH,79,2021
WILLOWBROOK,85,2021
WOODROW,66,2021
ANNADALE,77,2020
ARDEN HEIGHTS,104,2020
ARROCHAR,10,2020
ARROCHAR-SHORE ACRES,13,2020
BLOOMFIELD,198,2020
BULLS HEAD,98,2020
CASTLETON CORNERS,74,2020
CLOVE LAKES,40,2020
CONCORD,22,2020
CONCORD-FOX HILLS,8,2020
DONGAN HILLS,32,2020
DONGAN HILLS-COLONY,44,2020
DONGAN HILLS-OLD TOWN,14,2020
ELTINGVILLE,157,2020
EMERSON HILL,20,2020
FRESH KILLS,0,2020
GRANT CITY,52,2020
GRASMERE,34,2020
GREAT KILLS,334,2020
GREAT KILLS-BAY TERRACE,31,2020
GRYMES HILL,20,2020
HUGUENOT,77,2020
LIVINGSTON,17,2020
MANOR HEIGHTS,49,2020
MARINERS HARBOR,54,2020
MIDLAND BEACH,86,2020
NEW BRIGHTON,66,2020
NEW BRIGHTON-ST. GEORGE,16,2020
NEW DORP,73,2020
NEW DORP-BEACH,27,2020
NEW DORP-HEIGHTS,41,2020
NEW SPRINGVILLE,190,2020
OAKWOOD,24,2020
OAKWOOD-BEACH,36,2020
PLEASANT PLAINS,39,2020
PORT IVORY,14,2020
PORT RICHMOND,64,2020
PRINCES BAY,83,2020
