NEIGHBORHOOD,SALE PRICE
ANNADALE,103
ARDEN HEIGHTS,86
ARROCHAR,16
ARROCHAR-SHORE ACRES,11
BLOOMFIELD,181
BULLS HEAD,115
CASTLETON CORNERS,50
CLOVE LAKES,47
CONCORD,34
CONCORD-FOX HILLS,57
DONGAN HILLS,35
DONGAN HILLS-COLONY,23
DONGAN HILLS-OLD TOWN,1
ELTINGVILLE,109
EMERSON HILL,13
FRESH KILLS,0
GRANT CITY,47
GRASMERE,38
GREAT KILLS,257
GREAT KILLS-BAY TERRACE,21
GRYMES HILL,20
HUGUENOT,67
LIVINGSTON,10
MANOR HEIGHTS,54
MARINERS HARBOR,76
MIDLAND BEACH,97
NEW BRIGHTON,54
NEW BRIGHTON-ST. GEORGE,14
NEW DORP,64
NEW DORP-BEACH,34
NEW DORP-HEIGHTS,45
NEW SPRINGVILLE,148
OAKWOOD,16
OAKWOOD-BEACH,29
PLEASANT PLAINS,29
PORT IVORY,17
PORT RICHMOND,62
PRINCES BAY,75
RICHMONDTOWN,39
RICHMONDTOWN-LIGHTHS HILL,9
ROSEBANK,75
ROSSVILLE,60
ROSSVILLE-CHARLESTON,38
ROSSVILLE-PORT MOBIL,27
ROSSVILLE-RICHMOND VALLEY,9
SILVER LAKE,27
SOUTH BEACH,77
STAPLETON,33
STAPLETON-CLIFTON,28
SUNNYSIDE,21
TODT HILL,48
TOMPKINSVILLE,13
TOTTENVILLE,125
TRAVIS,45
WEST NEW BRIGHTON,99
WESTERLEIGH,79
WILLOWBROOK,85
WOODROW,66
